ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"01200520",Bremer Straße,9433,"01",4.77,2,5,28.52,2,3,16.02,3,5,67.12,2,4,48.02,2,4,29.47,2,4,-0.12,2,3,66.44,2,3,23.52,2,3,,,,,,,,,100,6,61.56,2,3,28.71,3,-1.32,2,3,-6.24,2,2,gültig
202012,"01200521",Zwinglistraße,5235,"01",5.19,2,5,28.57,2,3,22.73,4,5,80.82,3,5,58.97,4,4,36.68,4,5,-1.46,1,3,59.74,2,2,31.2,2,4,,,,,,,,,100,6,59.8,2,2,31.74,4,-2.06,2,3,-5.97,2,2,gültig
202012,"01200522",Elberfelder Straße,11333,"01",2.15,2,3,23.67,2,3,7.71,2,4,51.62,2,3,35.6,2,3,20,2,3,-0.39,2,3,63.48,2,3,15.64,2,2,,,,,,,,,1.62,2,68.22,2,3,22.33,3,-0.54,2,3,-4.15,2,2,gültig
202012,"01200623",Stephankiez,10825,"01",4.89,2,5,23.71,2,3,16.06,3,5,68.5,2,4,50.49,3,4,30.67,2,5,-0.7,2,3,64.76,2,3,23.41,2,3,,,,,,,,,99.97,5,59.26,2,2,30.98,4,-1.55,2,3,-4.89,2,2,gültig
202012,"01200624",Heidestraße,5178,"01",3.54,2,4,15.83,1,2,14.12,3,5,84.08,4,5,67.32,4,5,45.19,4,5,10.2,4,6,74.66,3,4,9.07,1,1,,,,,,,,,55.02,4,22.71,1,1,72.65,5,42.94,4,6,33.44,4,6,gültig
202012,"01200625",Lübecker Straße,6976,"01",7.6,4,5,28.36,2,3,19.43,4,5,81.78,4,5,59.76,4,4,34.03,3,5,0.34,2,4,70.35,2,4,35.95,2,4,,,,,,,,,100,6,67.36,2,3,24.67,3,-0.79,2,3,-5.07,2,2,gültig
202012,"01200626",Thomasiusstraße,5935,"01",2.04,2,3,22.82,2,3,10.06,2,5,58.24,2,3,42.9,2,3,25.73,2,4,-2.72,1,2,61.82,2,3,12.08,2,2,,,,,,,,,0.52,2,63.19,2,3,34.77,4,-2.55,2,3,-1.3,2,3,gültig
202012,"01200627",Zillesiedlung,3280,"01",6.98,4,5,30.3,2,4,21.31,4,5,85.71,4,5,64.79,4,5,33.23,3,5,-0.42,2,3,80.83,4,5,42.9,4,5,,,,,,,,,100,6,68.09,2,3,19.86,2,-1.41,2,3,2.29,2,4,gültig
202012,"01200628",Lüneburger Straße,3132,"01",1.09,2,2,28.32,2,3,14.32,3,5,67.16,2,4,42.4,2,3,22.77,2,4,0.56,2,4,60.87,2,3,10.96,1,2,,,,,,,,,0,1,63.68,2,3,27.46,3,1.18,2,4,0.36,2,4,gültig
202012,"01200629",Hansaviertel,5807,"01",1.19,2,2,24.2,2,3,9.39,2,4,60.12,2,4,47.89,2,4,34.06,3,5,0.22,2,4,64.36,2,3,6.79,1,1,,,,,,,,,0,1,60.57,2,3,29.8,3,0.33,2,4,-7.02,2,2,gültig
202012,"01300730",Drontheimer Straße,7957,"01",9.68,4,5,32.1,2,4,18.94,4,5,88.74,4,5,71.47,4,5,46.7,4,5,-1.12,1,3,65.74,2,3,42.54,4,5,,,,,,,,,99.55,5,60.92,2,3,34.38,4,-2.8,2,3,0.01,2,4,gültig
202012,"01300731",Koloniestraße,8545,"01",7.37,4,5,31.72,2,4,18.94,4,5,81.4,4,5,58.27,4,4,37.78,4,5,-0.78,2,3,64.87,2,3,41.96,3,5,,,,,,,,,100,6,62.11,2,3,29.15,3,-0.89,2,3,-3.41,2,3,gültig
202012,"01300732",Soldiner Straße,9879,"01",7.17,4,5,32.99,2,4,18.92,4,5,83.85,4,5,62.24,4,5,39.49,4,5,-0.59,2,3,67.65,2,3,46.05,4,5,,,,,,,,,99.96,5,63.19,2,3,25.11,3,-1.43,2,3,-6.88,2,2,gültig
202012,"01300733",Gesundbrunnen,11665,"01",6.29,3,5,27.86,2,3,14.86,3,5,83.59,4,5,61.93,4,5,37.88,4,5,-1.06,1,3,69.72,2,3,39.43,3,4,,,,,,,,,99.95,5,64.48,2,3,26.2,3,-2.14,2,3,-5.04,2,2,gültig
202012,"01300834",Brunnenstraße,14193,"01",7.78,4,5,24.54,2,3,19.62,4,5,86.53,4,5,66.36,4,5,30.32,2,5,-0.52,2,3,80.41,4,5,43.7,4,5,,,,,,,,,99.24,5,67.42,2,3,19.09,2,0.38,2,4,1.31,2,4,gültig
202012,"01300835",Humboldthain Süd,10443,"01",3.39,2,4,29.19,2,3,11.38,2,5,83.87,4,5,59.6,4,4,30.22,2,5,1.54,2,4,75.19,3,4,29.72,2,3,,,,,,,,,100,6,67.85,2,3,24.37,3,1.21,2,4,-0.93,2,3,gültig
202012,"01300836",Humboldthain Nordwest,14657,"01",6.69,3,5,28.22,2,3,17.95,4,5,86.37,4,5,64.58,4,5,39.93,4,5,-0.43,2,3,70.42,2,4,40.42,3,5,,,,,,,,,99.32,5,60.76,2,3,31.32,4,-0.41,2,3,-3.97,2,3,gültig
202012,"01400937",Afrikanische Straße,10804,"01",4.15,2,5,36.58,2,4,12.38,2,5,71.96,3,4,48.24,2,4,28.98,2,4,0.42,2,4,64.39,2,3,31.23,2,4,,,,,,,,,100,6,65.53,2,3,23.05,3,-0.71,2,3,-6.92,2,2,gültig
202012,"01400938",Kameruner Straße,9725,"01",6.17,3,5,28.14,2,3,12.42,2,5,75.23,3,4,52.66,3,4,34.25,3,5,-0.63,2,3,60.7,2,3,30.22,2,4,,,,,,,,,100,6,61.88,2,3,30.32,4,-1.68,2,3,-7.81,2,2,gültig
202012,"01400939",Glasgower Straße,5926,"01",4.05,2,5,33.72,2,4,7.34,2,3,74.46,3,4,51.91,3,4,36.16,3,5,0.54,2,4,63.37,2,3,30.08,2,4,,,,,,,,,100,6,60.11,2,3,28.6,3,-0.23,2,3,-6.27,2,2,gültig
202012,"01400940",Schillerpark,6794,"01",5.22,2,5,38.2,3,4,7.33,2,3,62.87,2,4,35.37,2,3,16.09,2,3,1.03,2,4,67.15,2,3,35.74,2,4,,,,,,,,,50.97,4,70.24,2,4,15.54,2,-0.06,2,3,-6.59,2,2,gültig
