ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,SI_N,SI_V,DI_N,DI_V,SDI,SDI_N,SDI_V,KOM
202012,"01401049",Schulstraße,6689,"01",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"02100101",Askanischer Platz,6281,"02",3,niedrig,5,negativ,3-,35,"Status niedrig , Dynamik negativ",gültig
202012,"02100102",Mehringplatz,8647,"02",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"02100103",Am Berlin Museum,5382,"02",4,sehr niedrig,5,negativ,4-,45,"Status sehr niedrig , Dynamik negativ",gültig
202012,"02100104",Moritzplatz,5567,"02",4,sehr niedrig,5,negativ,4-,45,"Status sehr niedrig , Dynamik negativ",gültig
202012,"02100105",Prinzenstraße,9604,"02",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"02100106",Wassertorplatz,5009,"02",4,sehr niedrig,5,negativ,4-,45,"Status sehr niedrig , Dynamik negativ",gültig
202012,"02200207",Gleisdreieck,2067,"02",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"02200208",Rathaus Yorckstraße,6008,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02200209",Viktoriapark,10969,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02200210",Urbanstraße,12384,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02200211",Chamissokiez,14760,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02200212",Graefekiez Süd,8602,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02200213",Graefekiez Nord,10284,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02300314",Oranienplatz,7587,"02",4,sehr niedrig,5,negativ,4-,45,"Status sehr niedrig , Dynamik negativ",gültig
202012,"02300315",Lausitzer Platz,8723,"02",3,niedrig,3,stabil,3+/-,33,"Status niedrig , Dynamik stabil",gültig
202012,"02300316",Köpenicker Straße,4215,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02300417",Reichenberger Straße West,8433,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02300418",Reichenberger Straße Ost,7710,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02300419",Wrangelkiez,10903,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02400520",Barnimkiez,5451,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02400521",Friedenstraße,7858,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02400522",Richard-Sorge-Viertel,11262,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02400623",Andreasviertel,13307,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02400624",Weberwiese,11314,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02400625",Wriezener Bahnhof,1136,"02",3,niedrig,3,stabil,3+/-,33,"Status niedrig , Dynamik stabil",gültig
202012,"02500726",Hausburgviertel,9134,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500727",Forckenbeckplatz,6623,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500728",Samariterviertel,10109,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500729",Pettenkofer Straße,5441,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500830",Niederbarnimstraße,3931,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
