ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,S1,S1_SD_GR,S1_AG_GR,S2,S2_SD_GR,S2_AG_GR,S3,S3_SD_GR,S3_AG_GR,S4,S4_SD_GR,S4_AG_GR,D1,D1_SD_GR,D1_AG_GR,D2,D2_SD_GR,D2_AG_GR,D3,D3_SD_GR,D3_AG_GR,D4,D4_SD_GR,D4_AG_GR,KOM
202012,"01300834",Brunnenstraße,14193,"01",10.46059,4,5,,,,27.34447,4,5,52.3088,4,5,3.39883,3,6,,,,-2.93788,1,1,-3.06615,2,2,gültig
202012,"01300835",Humboldthain Süd,10443,"01",7.65557,2,4,,,,20.09001,3,5,44.77887,3,5,2.20995,3,6,,,,-1.93861,2,2,-1.80073,2,3,gültig
202012,"01300836",Humboldthain Nordwest,14657,"01",10.68295,4,5,,,,26.0831,4,5,61.47578,4,5,3.05583,3,6,,,,-2.88721,1,1,-0.42898,2,3,gültig
202012,"01400937",Afrikanische Straße,10804,"01",8.06597,3,5,,,,17.39171,2,4,42.90008,3,5,1.92969,2,5,,,,-2.28131,2,1,-5.28805,1,1,gültig
202012,"01400938",Kameruner Straße,9725,"01",7.75226,2,4,,,,17.52185,2,4,46.3353,3,5,2.22322,3,6,,,,-1.86295,2,2,-3.70538,2,2,gültig
202012,"01400939",Glasgower Straße,5926,"01",8.05354,3,5,,,,17.58353,2,4,45.20918,3,5,2.3232,3,6,,,,-1.99087,2,2,-2.48956,2,2,gültig
202012,"01400940",Schillerpark,6794,"01",7.88804,2,4,,,,16.57345,2,4,43.34061,3,5,2.35681,3,6,,,,-3.01928,1,1,-2.92158,2,2,gültig
202012,"01400941",Londoner Straße,3786,"01",7.03448,2,4,,,,13.99894,2,3,42.34694,3,5,2.20532,3,6,,,,-1.72876,2,2,-2.73078,2,2,gültig
202012,"01400942",Westliche Müllerstraße,8643,"01",7.1553,2,4,,,,17.14682,2,4,47.6828,3,5,1.59654,2,5,,,,-2.90154,1,1,-6.62582,1,1,gültig
202012,"01401043",Antonstraße,7739,"01",10.77886,4,5,,,,26.95439,4,5,60.18779,4,5,2.09216,3,6,,,,-3.25078,1,1,-3.40013,2,2,gültig
202012,"01401044",Uferstraße,10224,"01",10.3426,4,5,,,,26.24218,4,5,62.31884,4,5,2.80861,3,6,,,,-3.48215,1,1,-6.90211,1,1,gültig
202012,"01401045",Schwedenstraße,5722,"01",10.907,4,5,,,,27.36805,4,5,59.93624,4,5,4.21686,3,6,,,,-2.63195,1,1,-0.8885,2,3,gültig
202012,"01401046",Nordufer,8781,"01",7.05882,2,4,,,,14.95274,2,3,34.69602,2,4,1.54933,2,5,,,,-2.44144,1,1,-7.71851,1,1,gültig
202012,"01401047",Sparrplatz,7867,"01",7.95526,3,4,,,,18.91445,3,4,51.68651,4,5,2.07742,3,6,,,,-4.07934,1,1,-7.06947,1,1,gültig
202012,"01401048",Leopoldplatz,9098,"01",8.90001,3,5,,,,21.64212,4,5,51.91606,4,5,1.92771,2,5,,,,-3.12091,1,1,-1.52771,2,3,gültig
202012,"01401049",Schulstraße,6689,"01",11.32157,4,5,,,,26.87995,4,5,65.13234,4,5,2.80344,3,6,,,,-3.24498,1,1,-1.60495,2,3,gültig
202012,"02100101",Askanischer Platz,6281,"02",8.42778,3,5,,,,21.17497,3,5,44.22404,3,5,2.35628,3,6,,,,0.04057,2,4,3.99535,3,5,gültig
202012,"02100102",Mehringplatz,8647,"02",11.04756,4,5,,,,27.33896,4,5,53.43728,4,5,2.5186,3,6,,,,-2.11115,2,1,-2.60992,2,2,gültig
202012,"02100103",Am Berlin Museum,5382,"02",10.45886,4,5,,,,25.23226,4,5,50.76253,4,5,2.77273,3,6,,,,-1.94186,2,2,3.81719,3,5,gültig
202012,"02100104",Moritzplatz,5567,"02",12.0437,4,5,,,,26.76486,4,5,56.93512,4,5,2.28274,3,6,,,,-1.50105,2,2,3.51897,3,5,gültig
202012,"02100105",Prinzenstraße,9604,"02",12.92965,4,5,,,,29.73761,4,5,63.83812,4,5,2.08234,3,6,,,,-3.18985,1,1,-0.79308,2,3,gültig
202012,"02100106",Wassertorplatz,5009,"02",12.27336,4,5,,,,29.34718,4,5,61.7207,4,5,3.2022,3,6,,,,-2.01342,2,1,1.67198,2,4,gültig
202012,"02200207",Gleisdreieck,2067,"02",0.99857,1,1,,,,3.0479,1,1,6.16622,1,1,0.10134,1,4,,,,-0.24819,2,3,-0.28539,2,3,gültig
202012,"02200208",Rathaus Yorckstraße,6008,"02",5.49548,2,3,,,,12.38349,2,3,24.35424,2,3,1.12021,2,5,,,,-1.37286,2,2,-3.28621,2,2,gültig
202012,"02200209",Viktoriapark,10969,"02",4.11074,2,3,,,,8.38727,2,2,16.11625,2,2,0.79681,2,4,,,,-1.0827,2,2,-1.66005,2,3,gültig
202012,"02200210",Urbanstraße,12384,"02",4.63859,2,3,,,,10.12597,2,3,19.42634,2,2,1.21127,2,5,,,,-0.82031,2,3,-0.5483,2,3,gültig
202012,"02200211",Chamissokiez,14760,"02",4.6166,2,3,,,,9.85095,2,2,17.35107,2,2,1.26044,2,5,,,,-0.36286,2,3,-1.69112,2,3,gültig
202012,"02200212",Graefekiez Süd,8602,"02",7.96134,3,4,,,,17.33318,2,4,34.8763,2,4,2.49354,3,6,,,,-2.13123,2,1,-1.83754,2,3,gültig
202012,"02200213",Graefekiez Nord,10284,"02",4.83483,2,3,,,,11.40607,2,3,17.7761,2,2,1.07703,2,5,,,,-0.42416,2,3,-1.43819,2,3,gültig
202012,"02300314",Oranienplatz,7587,"02",10.22903,4,5,,,,21.61592,4,5,47.93103,3,5,3.05504,3,6,,,,-1.17537,2,2,2.21099,2,5,gültig
202012,"02300315",Lausitzer Platz,8723,"02",8.37658,3,5,,,,19.6492,3,4,37.23958,2,4,2.46338,3,6,,,,-1.0031,2,2,1.21629,2,4,gültig
202012,"02300316",Köpenicker Straße,4215,"02",6.65615,2,4,,,,16.18031,2,4,31.96078,2,4,0.95156,2,4,,,,-1.07964,2,2,2.23637,2,5,gültig
202012,"02300417",Reichenberger Straße West,8433,"02",7.66651,2,4,,,,16.74374,2,4,33.23917,2,4,1.94627,2,5,,,,-1.76445,2,2,-4.23814,2,1,gültig
202012,"02300418",Reichenberger Straße Ost,7710,"02",6.69401,2,4,,,,13.46304,2,3,23.81974,2,3,1.92366,2,5,,,,-1.39286,2,2,-3.398,2,2,gültig
202012,"02300419",Wrangelkiez,10903,"02",6.22411,2,4,,,,12.94139,2,3,24.55043,2,3,1.23636,2,5,,,,-1.06684,2,2,0.25413,2,4,gültig
202012,"02400520",Barnimkiez,5451,"02",7.10692,2,4,,,,11.0255,2,3,33.33333,2,4,1.97788,2,5,,,,-1.77598,2,2,-3.36088,2,2,gültig
202012,"02400521",Friedenstraße,7858,"02",4.36859,2,3,,,,8.72996,2,2,21.73913,2,3,1.51145,2,5,,,,-1.01074,2,2,-2.26087,2,2,gültig
202012,"02400522",Richard-Sorge-Viertel,11262,"02",3.29814,2,2,,,,6.55301,2,2,13.20631,2,2,0.64748,2,4,,,,-0.37538,2,3,-0.77732,2,3,gültig
202012,"02400623",Andreasviertel,13307,"02",5.78179,2,3,,,,13.33133,2,3,37.24305,2,4,1.2323,2,5,,,,-0.43949,2,3,-2.28575,2,2,gültig
202012,"02400624",Weberwiese,11314,"02",3.63207,2,2,,,,5.88651,2,2,10.94891,2,2,1.17363,2,5,,,,0.06313,2,4,2.29812,2,5,gültig
202012,"02400625",Wriezener Bahnhof,1136,"02",6.00858,2,4,,,,17.69366,2,4,57.69231,4,5,0.66099,2,4,,,,-3.25872,1,1,-0.84428,2,3,gültig
202012,"02500726",Hausburgviertel,9134,"02",4.72577,2,3,,,,9.15262,2,2,18.65737,2,2,0.85727,2,4,,,,0.12149,2,4,1.18525,2,4,gültig
202012,"02500727",Forckenbeckplatz,6623,"02",3.81794,2,2,,,,8.45538,2,2,14.26844,2,2,0.39145,2,4,,,,-0.3284,2,3,-0.54637,2,3,gültig
202012,"02500728",Samariterviertel,10109,"02",4.34627,2,3,,,,7.31032,2,2,11.05491,2,2,1.24646,2,5,,,,-0.63731,2,3,-1.33989,2,3,gültig
202012,"02500729",Pettenkofer Straße,5441,"02",4.05498,2,3,,,,7.53538,2,2,12.30398,2,2,1.01987,2,5,,,,-0.65748,2,3,-1.05299,2,3,gültig
202012,"02500830",Niederbarnimstraße,3931,"02",4.49129,2,3,,,,7.78428,2,2,11.40351,2,2,0.75184,2,4,,,,-0.17987,2,3,-1.83178,2,3,gültig
202012,"02500831",Wismarplatz,7877,"02",4.90996,2,3,,,,9.85147,2,2,21.14804,2,3,1.15159,2,5,,,,-0.54126,2,3,-2.26507,2,2,gültig
202012,"02500832",Traveplatz,9064,"02",5.45528,2,3,,,,11.03266,2,3,23.92727,2,3,0.7632,2,4,,,,-2.3023,2,1,-3.20796,2,2,gültig
202012,"02500833",Boxhagener Platz,10190,"02",3.854,2,2,,,,7.08538,2,2,17.17557,2,2,0.62186,2,4,,,,0.02281,2,4,1.89255,2,4,gültig
