ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"01022205",Zillesiedlung,3280,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,34.44,4,1.26,1,1,29.76,1,1,,,,,,,,,,,,,,gültig
202012,"01022206",Lüneburger Straße,3132,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1.95,2,3,47.83,3,4,,,,,,,,,,,,,,gültig
202012,"01022207",Hansaviertel,5807,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,2,1.92,2,3,42.13,2,3,,,,,,,,,,,,,,gültig
202012,"01033101",Soldiner Straße,26381,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22,3,1.43,1,1,29.41,1,1,,,,,,,,,,,,,,gültig
202012,"01033102",Gesundbrunnen,11665,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,9.53,2,1.5,1,1,30.84,1,1,,,,,,,,,,,,,,gültig
202012,"01033201",Brunnenstraße,14193,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,44.01,4,1.46,1,1,29.9,1,1,,,,,,,,,,,,,,gültig
202012,"01033202",Humboldthain Süd,10443,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22,3,1.52,1,2,31.98,1,1,,,,,,,,,,,,,,gültig
202012,"01033203",Humboldthain Nordwest,14657,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27,2,1.45,1,1,29.91,1,1,,,,,,,,,,,,,,gültig
202012,"01044101",Rehberge,20529,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,2,1.64,2,2,33.9,2,1,,,,,,,,,,,,,,gültig
202012,"01044102",Schillerpark,16506,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,5,1.74,2,2,33.69,2,1,,,,,,,,,,,,,,gültig
202012,"01044103",Westliche Müllerstraße,8643,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,2,1.6,2,2,33.57,2,1,,,,,,,,,,,,,,gültig
202012,"01044201",Reinickendorfer Straße,23685,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36,2,1.35,1,1,29.06,1,1,,,,,,,,,,,,,,gültig
202012,"01044202",Sparrplatz,16648,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,2,1.51,1,2,31.66,1,1,,,,,,,,,,,,,,gültig
202012,"01044203",Leopoldplatz,15787,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58,2,1.58,1,2,33.38,2,1,,,,,,,,,,,,,,gültig
202012,"02010101",Askanischer Platz,6281,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74,2,1.69,2,2,35.21,2,2,,,,,,,,,,,,,,gültig
202012,"02010102",Mehringplatz,14029,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,31.02,4,1.48,1,1,31,1,1,,,,,,,,,,,,,,gültig
202012,"02010103",Moritzplatz,15171,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,42.18,4,1.47,1,1,29.06,1,1,,,,,,,,,,,,,,gültig
202012,"02010104",Wassertorplatz,5009,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,2,1.48,1,1,32.21,2,1,,,,,,,,,,,,,,gültig
202012,"02020201",Gleisdreieck/Entwicklungsgebiet,2067,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2,1.47,1,1,39.01,2,2,,,,,,,,,,,,,,gültig
202012,"02020202",Rathaus Yorckstraße,6008,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,2,1.69,2,2,38.71,2,2,,,,,,,,,,,,,,gültig
202012,"02020203",Viktoriapark,10969,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1,1.86,2,3,43.15,2,3,,,,,,,,,,,,,,gültig
202012,"02020204",Urbanstraße,12384,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,1.77,2,3,38.92,2,2,,,,,,,,,,,,,,gültig
202012,"02020205",Chamissokiez,14760,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,17.79,3,1.82,2,3,40.92,2,3,,,,,,,,,,,,,,gültig
202012,"02020206",Graefekiez,18886,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,2,1.69,2,2,38.66,2,2,,,,,,,,,,,,,,gültig
202012,"02030301",Oranienplatz,8775,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,3,1.51,1,2,32.38,2,1,,,,,,,,,,,,,,gültig
202012,"02030302",Lausitzer Platz,12938,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31,3,1.65,2,2,36.08,2,2,,,,,,,,,,,,,,gültig
202012,"02030401",Reichenberger Straße,14955,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2,1.66,2,2,38.82,2,2,,,,,,,,,,,,,,gültig
202012,"02030402",Wrangelkiez,10903,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,2,1.68,2,2,37.71,2,2,,,,,,,,,,,,,,gültig
202012,"02040501",Barnimkiez,5451,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,70.64,6,1.98,2,3,33.75,2,1,,,,,,,,,,,,,,gültig
202012,"02040502",Friedenstraße,7858,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,43.97,4,1.83,2,3,38.03,2,2,,,,,,,,,,,,,,gültig
202012,"02040503",Richard-Sorge-Viertel,11262,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,4,1.76,2,3,37.38,2,2,,,,,,,,,,,,,,gültig
202012,"02040701",Andreasviertel,13307,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,52.72,5,1.62,2,2,33.04,2,1,,,,,,,,,,,,,,gültig
202012,"02040702",Weberwiese,11314,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96,2,1.73,2,2,39.73,2,2,,,,,,,,,,,,,,gültig
202012,"02040703",Wriezener Bahnhof/Entwicklungsgebiet,1136,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1.6,2,2,36.96,2,2,,,,,,,,,,,,,,gültig
202012,"02050601",Hausburgviertel,9134,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97,2,1.72,2,2,38.25,2,2,,,,,,,,,,,,,,gültig
202012,"02050602",Samariterviertel,22173,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,2,1.69,2,2,38.01,2,2,,,,,,,,,,,,,,gültig
202012,"02050801",Traveplatz,20872,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,2,1.67,2,2,36.57,2,2,,,,,,,,,,,,,,gültig
202012,"02050802",Boxhagener Platz,21568,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1.72,2,2,39.4,2,2,,,,,,,,,,,,,,gültig
202012,"02050803",Stralauer Kiez,7868,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42,2,1.9,2,3,41.46,2,3,,,,,,,,,,,,,,gültig
202012,"02050804",Stralauer Halbinsel,4709,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01,2,1.45,1,1,37.49,2,2,,,,,,,,,,,,,,gültig
202012,"03010101",Bucher Forst,4305,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,25.48,3,1.93,2,3,41.39,2,3,,,,,,,,,,,,,,gültig
