PLR_ID,PLR_NAME,kita_count,kita_names
01200625,Lübecker Straße,7.0,"['Kita Birkelinchen/Ev. Kirchengem. Heilige-Geist', 'Kita der Kath. Kirchengem. St. Laurentius', 'EKT - Perle', 'EKT - Kinderladen Badehaus', 'EKT - Panther, Tiger und Co.', 'Kita Kleiner Frosch', 'Kita Theobald Tiger']"
01200626,Thomasiusstraße,8.0,"['Kita Paradies für Kinder', 'Evangelische Kindertagesstätte St. Johannis der Gemeinde Tiergarten', 'Kita Alt-Moabit 117/Kigä City', 'EKT Kleckerburg', 'EKT Regenbogen', 'Kindergarten Schatztruhe', 'AWO Kita am Spreebogen', 'Kita Bellevue']"
01200627,Zillesiedlung,,
01200628,Lüneburger Straße,4.0,"['Spreekita', 'EKT Schneckenhaus', 'Kita Lüneburger Straße', 'Kita Verein für praktische Pädagogik']"
01200629,Hansaviertel,4.0,"['Kita/Kinder in Bewegung (KiB)', 'Kita Holsteiner Ufer 12/Kigä City', 'Kita an der UdK', 'Kita Kinderstube in Berlin']"
01300730,Drontheimer Straße,6.0,"['Kita Der Kinder-Garten in der Schwedenstraße', 'Kita Sprachvielfalt', 'Kita/Kinder in Bewegung (KiB)', 'Kita - Die Bärenbande', 'Kita Die Bärenbande', 'Kita Kindererde Prinzenallee']"
01300731,Koloniestraße,8.0,"['Kita Nordbahnstr. 15-16/Kigä City', 'EKT - Villa Römer', 'EKT - Klapperkiste', 'EKT - Die Ministerne', 'Kita Kleine Wölkchen', 'Kita Siebenschön', 'Kita Nachtigall', 'FREUDE Kita Wedding']"
01300732,Soldiner Straße,8.0,"['Kita Freienwalder Str. 19c/Kigä City', 'Kita Märchenland', 'Ev. Kita Stephanus', 'Kita Grüntaler Straße', 'Kita Putte', 'Kindergarten Meilenstein', 'Kindertagesstätte Fiorino', 'Kita Kleine Kapitäne']"
01300733,Gesundbrunnen,18.0,"['Kita Stettiner Str. 21-23/Kigä City', 'EKT - Flohzirkus Wedding', 'EKT - Stadtkinder', 'Kita SilberStern', 'EKT - Stadtkinder', 'EKT - Auenland', 'EKT - Stadtkinder', 'Kita Arcobaleno', 'Kita Zauberwald', 'Zwergenstube Auenland', 'Montessori-Kinderhaus Wedding', 'Kita Paradiesvögel Stettiner Straße', 'Kita Weltkinder', 'Kita Osloer Zwerge', 'Bezirksamt Mitte von Berlin (nur Sprachförderung)', 'Prinzenallee 8 (nur Sprachförderung)', 'Ellerbeker Str. 7-8 (nur Sprachförderung)', 'Kita Piccoli Artisti']"
01300834,Brunnenstraße,13.0,"['Kita Ramlerstr. 9-10/Kigä City', 'Kita Sternenhimmel', 'Kita/Kinder in Bewegung (KIB)', 'EKT Omas Garten', 'EKT - Mauerspechte', 'EKT - Waldorf-Kindergarten Berlin-Wedding', 'Kita Omas Garten', 'Kita Brunnengarten', 'Kita KIKADO', 'Kita Moritz (Kita III)', 'Kita Max (Kita II)', 'Kita am Mauerpark', 'Kita Putti']"
01300835,Humboldthain Süd,9.0,"['Kita Ackerstr. 60/Kigä City', 'Kita Wattstraße', 'Kita der Kath. Kirchengem. St. Sebastian', 'Ev. Kita am Humboldthain', 'Kita phorminis', 'Kita Kinderparadies Wedding', 'Kita Sonneninsel', 'Kita Lazarus Haus Berlin', 'El Mundo de los Ninos']"
01300836,Humboldthain Nordwest,11.0,"['Kita Schönwalder Str. 19a/Kigä City', 'Kita Wiesenstr.', 'EKT - Kila Spatzenkinder', 'Kita Neue Hochstr. 44/Kigä City', 'Kita Bunter Stern', 'Kita Ghislan', 'Kita am Nettelbeckplatz', 'Kindertagesstätte Paradiesvögel die Elstern', 'Kita Kinderburg', 'EKT Pankonauten', 'Spielraum Reinickenufer']"
01400937,Afrikanische Straße,7.0,"['Kita Ghanastr. 13/Kigä City', 'Kita Petersallee 29/Kigä City', 'Deutsch-Französische Kita/Kigä City', 'EKT Wilde Wiese', 'EKT Berliner Stadtmäuse', 'Kita Piratenkids', 'Kita Kindererde Afrikanische Straße']"
01400938,Kameruner Straße,11.0,"['Kita/Kinder in Bewegung (KiB)', 'Kita Afrikanische Straße', 'EKT - Tüte Mücken', 'Kita Augustenburger Platz', 'Kita Kardelen', 'Kita Knirpsmaus', 'Kita Engelsnest', 'Kita Freche Früchte', 'Kita Sari', 'Naturkindergarten Wedding e.V.', 'Kita Abendteuerland']"
01400939,Glasgower Straße,17.0,"['EKT Gänseblümchen', 'Kleine Himmelswolke', 'Pädag.Initiative EKT am Schillerpark', 'Montessori Kinderladen Wedding', 'EKT Kleine Himmelswolke', 'EKT am Schillerpark', 'Kita RoKoKids', 'Kita Primavera', 'Kleine RokoKids Kita', 'EKT Kinderoase', 'Kita Piya', 'Kindertagesstätte Paul-Gerhardt-Stift zu Berlin', 'Kita Plapperfrosch', 'Smile Kindergarten', 'Johemi Kita Müllerstraße', 'Kita Johemi', 'Johemi Kita Müllerstraße']"
01400940,Schillerpark,3.0,"['Kita Edinburger Str. 38/Kigä City', 'Kita Seestraße', 'Schillerpark-Kita']"
01400941,Londoner Straße,2.0,"['Ev. Kita Kornelius', 'Kita Plapperschildkröte']"
01400942,Westliche Müllerstraße,11.0,"['Kita Brüsseler Straße', 'Ev. Kinderhaus Kapernaum', 'EKT Krümelbande', 'EKT Bäumchen', 'Kita Paradiesvögel Genterstraße', 'Kita Antwerpener Straße 40', 'Kita Seestern', 'Freche Früchte', 'Kita an der Beuth Hochschule für Technik', 'Kita Bäumchen', 'Hinterhof-Bären']"
01401043,Antonstraße,11.0,"['Kita Reinickendorfer Str. 98/Kigä City', 'Kindergarten Ruheplatz 13', 'Kita Akila', 'Kita Paradiesvögel Plantagenstraße', 'Kita Wunderland', 'Kleiner Fratz', 'Kindertagesstätte Schlösschen-Mitte', 'Kleiner Fratz', 'Kindertagesstätte Tipi', 'Wedding-Schule (nur Sprachförderung)', 'Kita Bienchen']"
01401044,Uferstraße,8.0,"['Kita Kunterbunt', 'Kita/Kinder in Bewegung (KIB) gGmbH', 'EKT - Kinderhütte Wiesenstraße', 'Kinderhaus Kunterbunt', 'Kita Rauda', 'Kinderladen Zauberhaus', 'Kita Ringelblume', 'Kita Kleine Waschbären']"
01401045,Schwedenstraße,6.0,"['EKT Jo Jo', 'Kita Exerzierstr. 32a/Kigä City', 'Kita Osloer Str. 105D/Kigä City', 'Kita Der Kleine Muck', 'Kita Vielfalter', 'Kenntnisreich Badstraße']"
01401046,Nordufer,4.0,"['Kita der Ev. Osterkirchengem.', 'Hinterhof-Tiger', 'EKT Sonnenblume', 'EKT Frischlinge']"
01401047,Sparrplatz,14.0,"['Kita Lynarstr. 10/Kigä City', 'EKT - Pustebär', 'EKT - ""Eisbär""', 'EKT Sparrbande', 'Wolke 7 gGmbH', 'Kita Paradiesvögel Sparrstraße', 'Kita Arif und Alina', 'KITA Wirbelzwirbel', 'Kita Alina und Arif', 'Kita Paradiesvögel', 'Kita Paradiesvögel - Die Zebrafinken -', 'Gipfelstürmer', 'Arif und Alina III', 'Brüder Grimm Grundschule (nur Sprachförderung)']"
01401048,Leopoldplatz,13.0,"['Ev. Kita Nazareth', 'EKT Tausendfüßler', 'Kita A13', 'Kita Liebenwalder Str. 45/Kigä City', 'Groni-Weddinger Kinder- u.Jugendzentrum', 'Groni-Weddinger Kinder- u.Jugendzentrum', 'Groni-Weddinger Kinder- u.Jugendzentrum - Malplaquet 37', 'Groni-Weddinger Kinder- u.Jugendzentrum', 'EKT - Die kleinen Chaoten', 'Kita Nazarethkirchstraße', 'Kita Malplaquetstraße', 'Kita Die kleinen Frösche', 'Kita Plapperfisch']"
01401049,Schulstraße,7.0,"['Kindertagesstätte der Caritas St. Robert', 'AWO Kita Sonnenblume', 'EKT - Doppelpünktchen', 'Kita Weiße Wolke', 'Kita Groninger Straße 34', 'Kita Umpa Lumpa', 'AWO Kita Pinocchio']"
02100101,Askanischer Platz,6.0,"['Kita Traumbaum', 'EKT - Nasreddin', 'Kita Stresemannstraße', 'Kita Bienchen', 'Kita im tam.', 'Kita Möckernstraße 139']"
02100102,Mehringplatz,10.0,"['Kita Kochstr. 8/Kigä City', 'EKT - Wohnhof e.V.', 'Kita Wilhelmstr. 14a/Kigä City', 'Kita Markgrafenstraße', 'EKT- Kindervilla Waldemar (Springerareal)', 'Kita Trauminsel', 'Kita Trauminsel', 'Kita Wolkenzwerge', 'Lernwerkstatt, Die Globale e.V. (nur Sprachförderung)', 'Axel-Springer-Straße / Grashüpfer']"
02100103,Am Berlin Museum,2.0,"['Kita Milchstraße', 'Waldorfkindergarten Kreuzberg']"
02100104,Moritzplatz,4.0,"['Kita Oranienstraße', 'Kita Stallschreiber Str.13', 'Nestwärme', 'Wildfang Kindergarten auf dem Dach']"
02100105,Prinzenstraße,4.0,"['Kita Lobeckstr. 11/Kigä City', 'Ev. Kita St. Simeon', 'EKT - Zappergeck', 'Kita KOTTI']"
02100106,Wassertorplatz,2.0,"['EKT Siebenschläfer', 'Kita Till Eulenspiegel-Kette']"
02200207,Gleisdreieck,2.0,"['Kita Flottwellpromenade', 'Möckernkiez 6']"
02200208,Rathaus Yorckstraße,6.0,"['Kita Sonnenschein', 'Ev. Kita Jesus Christus', 'EKT - Trompete', 'Kita Verein zur Förderung eines freien Erziehungs- und Bildungswesens', 'Kita EMMA APFEL', 'EKT MiniMonster']"
02200209,Viktoriapark,13.0,"['Kita Mehringdamm 116/Kigä City', 'Kita Methfesselstr. 14/Kigä City', 'Kindertagesstätte ""Faros""', 'EKT - Macht nix', 'EKT - Zinnober', 'EKT - Krümelmonster e.V.', 'Kita Monumentenbande e.V.', 'EKT - Kinderladen Luftabong', 'EKT - Katzbach-Piraten', 'EKT - Kulturschlüssel', 'EKT - Macht nix', 'EKT Katzbachstraße', 'Kita Farbkleckse']"
02200210,Urbanstraße,11.0,"['Kita Lingulino', 'Kindertagesstätte Fontanepromenade 14', 'Kita Baerwaldstr. 18/Kigä City', 'AWO Kita Löwenzahn', 'AWO Europakita', 'EKT - Kindervilla Waldemar', 'EKT Springteufel', 'EKT Guten Tag Kinder', 'Kita Spielhaus/Nachbarschaftshaus Urbanstr.', 'Kita Blücherstraße 33', 'Blücherstraße 25']"
02200211,Chamissokiez,22.0,"['Kita Blauwal', 'Evangelische Kita Arche', 'EKT - Tigerente', 'EKT - Zippel und Zappel', 'EKT - Kalle Kirschkern e.V.', 'EKT - Krötenpfuhl', 'EKT - Die Panzerknacker', 'EKT - Klara Kirschkern e.V.', 'Kita Willibald-Alexis-Straße', 'EKT - ""Wildblume"" e.V.', 'EKT - Veda-Lila Kindergarten', 'Kita Schwiebusser Str. 5/Kigä City', 'Kita Tausend Fühler /Nachbarschaftshs Urbanstr.', 'EKT Wildblume', 'EKT - ""Wildblume"" e.V.', 'Integrationskinderladen Fidicinis', 'EKT Girotondo', 'Kinderladen Grüffelo', 'EKT Fino und Fleur', 'EKT Löwenherz & Spunk e.V.', 'EKT Krümelmonster e.V.', 'Kita Zwergenburg']"
02200212,Graefekiez Süd,10.0,"['Kita Urbanstr. 62/Kigä City', 'Kita Urbanstr. 48k/Kigä City', 'EKT - Alles Banane', 'EKT - Knulp', 'Kita Kinder Werk Stadt', 'Kita Hasenheide 56', 'EKT Herzlichtgarten', 'EKT - Neumond', 'Kita Sonnenblümchen', 'Kita Fontanepromenade']"
02200213,Graefekiez Nord,16.0,"['Kita Planufer 77/Kigä City', 'Kita Planufer 81/Kigä City', 'Ev. Kita Melanchthon', 'EKT - Pittiplatsch', 'EKT Minifee', 'EKT - Mondsichel', 'EKT - Knatterpampe', 'EKT Räuberhöhle', 'EKT Optimisten', 'Kinderladen Kreuzbären', 'EKT - Der kleine Horrorladen', 'EKT - Mondlicht I', 'EKT Bunte Mischung', 'EKT - Knatterbande', 'Frieda Kirschkern', 'Kiezpiraten']"
