PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Herthaplatz,03200207,Niedrig,Niedrig,Niedrig
Nisbléstraße,03200308,Niedrig,Niedrig,Mittel
Eddastraße,03200309,Niedrig,Niedrig,Niedrig
Krugpfuhl,03200310,Niedrig,Niedrig,Mittel
Karow Nord,03300411,Niedrig,Mittel,Mittel
Karow Bahnhof,03300412,Niedrig,Niedrig,Niedrig
Karow Ost,03300413,Niedrig,Niedrig,Niedrig
Blankenburg,03300514,Mittel,Niedrig,Mittel
Blankenburger Süden,03300515,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Heinersdorf,03300516,Mittel,Mittel,Mittel
Märchenland,03300517,Mittel,Mittel,Mittel
Rosenthal,03400618,Niedrig,Niedrig,Niedrig
Wilhelmsruh,03400619,Niedrig,Mittel,Niedrig
Schönholz,03400620,Mittel,Niedrig,Niedrig
Florakiez,03400721,Niedrig,Niedrig,Niedrig
Parkstraße,03400722,Mittel,Niedrig,Erhöht
Garbátyplatz,03400723,Mittel,Mittel,Erhöht
Wolfshagener Straße,03400724,Niedrig,Niedrig,Mittel
Schlosspark,03400725,Niedrig,Mittel,Mittel
Tiroler Viertel,03400826,Mittel,Mittel,Erhöht
Trelleborger Viertel,03400827,Niedrig,Niedrig,Niedrig
Spiekermann Straße,03400828,Niedrig,Niedrig,Niedrig
Arnold-Zweig-Straße,03400829,Niedrig,Niedrig,Mittel
Kissingenviertel,03400830,Niedrig,Mittel,Niedrig
Pankower Tor,03400831,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Bühringstraße,03500932,Mittel,Mittel,Mittel
Weißer See,03500933,Mittel,Mittel,Mittel
Weißenseer Spitze,03500934,Mittel,Mittel,Mittel
Behaimstraße,03500935,Mittel,Mittel,Mittel
Komponistenviertel Weißensee,03500936,Mittel,Niedrig,Mittel
Rathaus Weißensee,03501037,Mittel,Mittel,Mittel
Hansastraße,03501038,Mittel,Mittel,Mittel
Norweger Viertel,03601139,Mittel,Mittel,Mittel
Malmöer Straße,03601140,Niedrig,Niedrig,Niedrig
Arnimplatz,03601141,Mittel,Niedrig,Mittel
Falkplatz,03601142,Mittel,Niedrig,Erhöht
Rodenbergstraße,03601243,Mittel,Mittel,Mittel
Humannplatz,03601244,Niedrig,Niedrig,Niedrig
Ostseestraße,03601245,Mittel,Niedrig,Niedrig
Gethsemanekirche,03601346,Mittel,Niedrig,Niedrig
Helmholtzplatz,03601347,Mittel,Niedrig,Mittel
Senefelderstraße,03601348,Mittel,Mittel,Niedrig
Michelangelostraße,03601449,Mittel,Mittel,Mittel
Volkspark Prenzlauer Berg,03601450,Erhöht,Erhöht,Erhöht
Anton-Saefkow-Park,03601451,Mittel,Niedrig,Niedrig
Velodrom,03601452,Mittel,Mittel,Mittel
Alter Schlachthof,03601453,Mittel,Niedrig,Mittel
Teutoburger Platz,03701554,Mittel,Niedrig,Mittel
Sredzkistraße,03701555,Mittel,Niedrig,Erhöht
Kollwitzplatz,03701556,Mittel,Niedrig,Niedrig
Thälmannpark,03701657,Mittel,Mittel,Mittel
Christburger Straße,03701658,Niedrig,Niedrig,Niedrig
Immanuelkirchstraße,03701659,Niedrig,Mittel,Niedrig
Bötzowstraße,03701660,Niedrig,Niedrig,Niedrig
