PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Am Kienberg,10200627,Mittel,Erhöht,Mittel
Neue Grottkauer Straße,10200628,Mittel,Stark erhöht,Erhöht
Teterower Ring,10200629,Mittel,Mittel,Mittel
Cecilienplatz,10200630,Mittel,Erhöht,Mittel
Oberfeldstraße,10300731,Niedrig,Niedrig,Mittel
Buckower Ring,10300732,Mittel,Mittel,Mittel
Alt-Biesdorf,10300733,Mittel,Mittel,Mittel
Biesdorf Süd,10300734,Niedrig,Niedrig,Mittel
Kaulsdorf Nord,10400835,Niedrig,Mittel,Mittel
Alt-Kaulsdorf,10400836,Mittel,Mittel,Erhöht
Kaulsdorf Süd,10400837,Niedrig,Niedrig,Niedrig
Mahlsdorf Nord,10400938,Niedrig,Niedrig,Niedrig
Alt-Mahlsdorf,10400939,Mittel,Niedrig,Mittel
Elsensee,10400940,Niedrig,Niedrig,Niedrig
Pilgramer Straße,10400941,Niedrig,Niedrig,Niedrig
Dörfer Malchow-Wartenberg,11100101,Niedrig,Niedrig,Niedrig
Dorf Falkenberg,11100102,Mittel,Mittel,Mittel
Falkenberg Ost,11100203,Mittel,Erhöht,Mittel
Falkenberg West,11100204,Mittel,Mittel,Mittel
Wartenberg Süd,11100205,Mittel,Mittel,Erhöht
Wartenberg Nord,11100206,Mittel,Erhöht,Mittel
Zingster Straße Ost,11100307,Mittel,Mittel,Erhöht
Zingster Straße West,11100308,Mittel,Erhöht,Mittel
Mühlengrund,11100309,Mittel,Erhöht,Erhöht
Malchower Weg,11200410,Mittel,Erhöht,Mittel
Hauptstraße,11200411,Mittel,Mittel,Mittel
Orankesee,11200512,Mittel,Niedrig,Mittel
Große-Leege-Straße,11200513,Mittel,Mittel,Niedrig
Landsberger Allee,11200514,Mittel,Mittel,Mittel
Weiße Taube,11200515,Niedrig,Niedrig,Niedrig
Hohenschönhauser Straße,11300616,Mittel,Mittel,Mittel
Fennpfuhlpark,11300617,Mittel,Mittel,Stark erhöht
Storkower Bogen,11300618,Mittel,Mittel,Niedrig
Rudolf-Seiffert-Park,11300619,Mittel,Niedrig,Mittel
Fennpfuhl Ost,11300620,Mittel,Mittel,Mittel
Herzbergstraße,11300721,Erhöht,Mittel,Stark erhöht
Rathaus Lichtenberg,11300722,Mittel,Mittel,Mittel
Bornitzstraße,11300723,Mittel,Niedrig,Mittel
Roedeliusplatz,11300724,Mittel,Mittel,Erhöht
Nibelungenviertel,11300725,Mittel,Mittel,Mittel
Frankfurter Allee Süd,11300826,Mittel,Mittel,Erhöht
Victoriastadt,11400927,Mittel,Mittel,Mittel
Nöldnerplatz,11400928,Mittel,Niedrig,Mittel
Weitlingkiez,11400929,Mittel,Mittel,Niedrig
Zachertstraße,11400930,Niedrig,Niedrig,Mittel
Massower Straße,11400931,Mittel,Mittel,Mittel
Rosenfelder Ring,11401032,Mittel,Mittel,Mittel
Gensinger Straße,11401033,Mittel,Mittel,Mittel
Tierpark,11401034,Mittel,Mittel,Mittel
Dolgenseestraße,11401135,Mittel,Mittel,Mittel
Volkradstraße,11401136,Mittel,Niedrig,Mittel
Erieseering,11401137,Mittel,Mittel,Mittel
Rummelsburg,11501238,Mittel,Mittel,Mittel
Karlshorst West,11501339,Niedrig,Mittel,Mittel
Karlshorst Nord,11501340,Niedrig,Niedrig,Niedrig
Karlshorst Süd,11501341,Niedrig,Niedrig,Niedrig
Letteplatz,12100101,Mittel,Erhöht,Mittel
Hausotterplatz,12100102,Mittel,Erhöht,Mittel
Breitkopfbecken,12100103,Mittel,Erhöht,Mittel
Schäfersee,12100204,Mittel,Erhöht,Mittel
Teichstraße,12100205,Mittel,Erhöht,Mittel
Humboldtstraße,12100206,Mittel,Mittel,Niedrig
Reinickes Hof,12200307,Mittel,Mittel,Mittel
Meller Bogen,12200308,Mittel,Mittel,Mittel
Scharnweberstraße,12200309,Erhöht,Erhöht,Mittel
Klixstraße,12200310,Mittel,Erhöht,Mittel
Schumacher-Quartier,12200411,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Waldidyll/Flughafensee,12200412,Mittel,Mittel,Mittel
Tegel Süd,12200413,Mittel,Erhöht,Mittel
TXL,12200414,Erhöht,Stark erhöht,Mittel
Alt-Tegel,12200515,Mittel,Mittel,Erhöht
Konradshöhe/Tegelort,12400616,Niedrig,Niedrig,Niedrig
Alt-Heiligensee,12400617,Niedrig,Niedrig,Mittel
Heiligensee Nord,12400618,Mittel,Niedrig,Erhöht
Heiligensee,12400619,Niedrig,Niedrig,Mittel
Frohnau West,12400720,Niedrig,Niedrig,Mittel
Frohnau Ost,12400721,Niedrig,Niedrig,Niedrig
Hermsdorf West,12400722,Niedrig,Niedrig,Mittel
Hermsdorf Ost/Waldsee,12400723,Niedrig,Niedrig,Mittel
Ziekowstraße/Freie Scholle,12500824,Mittel,Mittel,Niedrig
Borsigwalde,12500825,Mittel,Mittel,Mittel
Wittenau Mitte,12500926,Mittel,Mittel,Erhöht
Wittenau Nord,12500927,Mittel,Mittel,Mittel
Waidmannslust,12500928,Niedrig,Mittel,Mittel
Lübars,12500929,Mittel,Niedrig,Niedrig
Wittenau Süd,12500930,Mittel,Mittel,Mittel
Lübarser Straße,12601031,Mittel,Mittel,Niedrig
Rollbergesiedlung,12601032,Mittel,Erhöht,Mittel
Treuenbrietzener Straße,12601133,Mittel,Stark erhöht,Mittel
Märkisches Zentrum,12601134,Mittel,Erhöht,Erhöht
Dannenwalder Weg,12601235,Mittel,Erhöht,Mittel
Schorfheidestraße,12601236,Mittel,Mittel,Mittel
