PLR_NAME,PLR_ID,overall_n,overall_v,innerfam_partner_n,innerfam_partner_v,youth_n,youth_v
Binger Straße,04400834,1,Niedrig,2,Mittel,1,Niedrig
Rüdesheimer Platz,04400835,1,Niedrig,2,Mittel,1,Niedrig
Droysenstraße,04500936,2,Mittel,2,Mittel,2,Mittel
Halensee,04500937,2,Mittel,2,Mittel,1,Niedrig
Hochmeisterplatz,04500938,2,Mittel,2,Mittel,1,Niedrig
Eisenzahnstraße,04500939,2,Mittel,2,Mittel,2,Mittel
Hindemithplatz,04501040,2,Mittel,1,Niedrig,1,Niedrig
George-Grosz-Platz,04501041,2,Mittel,2,Mittel,2,Mittel
Breitscheidplatz,04501042,4,Stark erhöht,4,Stark erhöht,4,Stark erhöht
Preußenpark,04501043,2,Mittel,2,Mittel,1,Niedrig
Ludwigkirchplatz,04501044,2,Mittel,2,Mittel,2,Mittel
Schaperstraße,04501045,2,Mittel,2,Mittel,1,Niedrig
Barstraße,04501146,2,Mittel,2,Mittel,2,Mittel
Leon-Jessel-Platz,04501147,2,Mittel,2,Mittel,2,Mittel
Brabanter Platz,04501148,2,Mittel,2,Mittel,1,Niedrig
Nikolsburger Platz,04501149,2,Mittel,2,Mittel,2,Mittel
Wilhelmsaue,04501150,2,Mittel,2,Mittel,1,Niedrig
Hildegardstraße,04501151,1,Niedrig,1,Niedrig,1,Niedrig
Prager Platz,04501152,2,Mittel,2,Mittel,1,Niedrig
Babelsberger Straße,04501153,2,Mittel,1,Niedrig,2,Mittel
Hakenfelde Nord,05100101,2,Mittel,2,Mittel,2,Mittel
Am Forstacker,05100102,2,Mittel,2,Mittel,2,Mittel
Mertensstraße,05100103,2,Mittel,3,Erhöht,2,Mittel
Maselake,05100104,2,Mittel,2,Mittel,2,Mittel
Amorbacher Weg,05100105,1,Niedrig,1,Niedrig,1,Niedrig
Griesingerstraße,05100206,2,Mittel,3,Erhöht,2,Mittel
An der Tränke,05100207,1,Niedrig,2,Mittel,1,Niedrig
Im Spektefeld,05100208,2,Mittel,3,Erhöht,3,Erhöht
Westerwaldstraße,05100209,2,Mittel,3,Erhöht,2,Mittel
Germersheimer Platz,05100210,2,Mittel,4,Stark erhöht,2,Mittel
An der Kappe,05100211,2,Mittel,2,Mittel,3,Erhöht
Eckschanze,05100312,2,Mittel,3,Erhöht,2,Mittel
Eiswerder,05100313,2,Mittel,3,Erhöht,2,Mittel
Kurstraße,05100314,3,Erhöht,4,Stark erhöht,3,Erhöht
Ackerstraße,05100315,2,Mittel,4,Stark erhöht,3,Erhöht
Carl-Schurz-Straße,05100316,3,Erhöht,3,Erhöht,4,Stark erhöht
Freiheit,05100317,2,Mittel,2,Mittel,3,Erhöht
Isenburger Weg,05200418,1,Niedrig,1,Niedrig,1,Niedrig
Am Heideberg,05200419,1,Niedrig,2,Mittel,1,Niedrig
Staakener Straße,05200420,2,Mittel,2,Mittel,2,Mittel
Spandauer Straße,05200421,2,Mittel,2,Mittel,2,Mittel
Werkstraße,05200422,2,Mittel,3,Erhöht,4,Stark erhöht
Magistratsweg,05200423,2,Mittel,2,Mittel,2,Mittel
Döberitzer Weg,05200524,1,Niedrig,2,Mittel,1,Niedrig
Pillnitzer Weg,05200525,1,Niedrig,1,Niedrig,2,Mittel
Rudolf-Wissell-Großsiedlung,05200526,2,Mittel,3,Erhöht,2,Mittel
Maulbeerallee,05200527,2,Mittel,4,Stark erhöht,3,Erhöht
Weinmeisterhornweg,05200528,2,Mittel,2,Mittel,2,Mittel
Borkumer Straße,05200629,3,Erhöht,3,Erhöht,3,Erhöht
Wilhelmstadt West,05200630,2,Mittel,3,Erhöht,2,Mittel
Wilhelmstadt Ost,05200631,2,Mittel,3,Erhöht,2,Mittel
Tiefwerder,05200632,2,Mittel,3,Erhöht,2,Mittel
Graetschelsteig,05200633,2,Mittel,3,Erhöht,2,Mittel
Börnicker Straße,05200634,2,Mittel,1,Niedrig,3,Erhöht
Haveleck,05300735,2,Mittel,2,Mittel,2,Mittel
Zitadellenweg,05300736,3,Erhöht,3,Erhöht,3,Erhöht
Gartenfelder Straße,05300737,2,Mittel,3,Erhöht,2,Mittel
Gartenfeld,05300838,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Rohrdamm,05300839,2,Mittel,2,Mittel,2,Mittel
Nonnendammallee,05300840,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Siemensdamm,05300841,2,Mittel,2,Mittel,2,Mittel
Alt-Gatow,05400942,2,Mittel,1,Niedrig,2,Mittel
Jägerallee,05400943,1,Niedrig,1,Niedrig,1,Niedrig
Kladower Damm,05400944,2,Mittel,1,Niedrig,1,Niedrig
Kafkastraße,05400945,1,Niedrig,1,Niedrig,1,Niedrig
Fichtenberg,06100101,2,Mittel,1,Niedrig,1,Niedrig
Schloßstraße,06100102,2,Mittel,1,Niedrig,2,Mittel
Markelstraße,06100103,2,Mittel,1,Niedrig,2,Mittel
Munsterdamm,06100204,1,Niedrig,1,Niedrig,1,Niedrig
Südende,06100205,1,Niedrig,2,Mittel,1,Niedrig
Stadtpark,06100206,2,Mittel,1,Niedrig,1,Niedrig
Mittelstraße,06100207,1,Niedrig,1,Niedrig,1,Niedrig
Bergstraße,06100208,2,Mittel,2,Mittel,2,Mittel
Feuerbachstraße,06100209,1,Niedrig,1,Niedrig,1,Niedrig
Bismarckstraße,06100210,1,Niedrig,2,Mittel,1,Niedrig
Alt-Lankwitz,06200311,2,Mittel,1,Niedrig,2,Mittel
Komponistenviertel Lankwitz,06200312,2,Mittel,2,Mittel,2,Mittel
Lankwitz Kirche,06200313,2,Mittel,2,Mittel,2,Mittel
Kaiser-Wilhelm-Straße,06200314,2,Mittel,2,Mittel,2,Mittel
Gallwitzallee,06200315,2,Mittel,2,Mittel,2,Mittel
Belßstraße,06200316,2,Mittel,3,Erhöht,2,Mittel
Lankwitz Süd,06200317,1,Niedrig,1,Niedrig,1,Niedrig
Landweg,06200418,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Thermometersiedlung,06200419,2,Mittel,2,Mittel,1,Niedrig
Lichterfelde Süd,06200420,2,Mittel,2,Mittel,1,Niedrig
Königsberger Straße,06200421,2,Mittel,2,Mittel,2,Mittel
Oberhofer Platz,06200422,2,Mittel,1,Niedrig,1,Niedrig
Schütte-Lanz-Straße,06200423,2,Mittel,2,Mittel,1,Niedrig
Berlepschstraße,06300524,2,Mittel,1,Niedrig,1,Niedrig
Zehlendorf Süd,06300525,1,Niedrig,1,Niedrig,1,Niedrig
Zehlendorf Mitte,06300526,2,Mittel,2,Mittel,3,Erhöht
Sundgauer Straße,06300527,1,Niedrig,1,Niedrig,1,Niedrig
Teltower Damm,06300528,1,Niedrig,1,Niedrig,1,Niedrig
Botanischer Garten,06300629,1,Niedrig,1,Niedrig,1,Niedrig
Hindenburgdamm,06300630,2,Mittel,2,Mittel,2,Mittel
Goerzwerke,06300631,2,Mittel,2,Mittel,2,Mittel
Schweizer Viertel,06300632,2,Mittel,1,Niedrig,1,Niedrig
Augustaplatz,06300633,1,Niedrig,1,Niedrig,2,Mittel
Lichterfelde West,06300634,1,Niedrig,1,Niedrig,1,Niedrig
Wannsee,06400735,1,Niedrig,1,Niedrig,1,Niedrig
Düppel,06400736,2,Mittel,1,Niedrig,2,Mittel
Nikolassee,06400737,2,Mittel,1,Niedrig,2,Mittel
Krumme Lanke,06400838,1,Niedrig,1,Niedrig,2,Mittel
Fischerhüttenstraße,06400839,2,Mittel,1,Niedrig,2,Mittel
Fischtal,06400840,1,Niedrig,1,Niedrig,1,Niedrig
Zehlendorf Eiche,06400841,1,Niedrig,1,Niedrig,1,Niedrig
Hüttenweg,06400842,2,Mittel,1,Niedrig,2,Mittel
Thielallee,06400843,1,Niedrig,1,Niedrig,2,Mittel
Dahlem,06400844,2,Mittel,1,Niedrig,2,Mittel
Wittenbergplatz,07100101,2,Mittel,2,Mittel,2,Mittel
Kalckreuthstraße,07100102,3,Erhöht,3,Erhöht,2,Mittel
Frobenstraße,07100103,3,Erhöht,3,Erhöht,2,Mittel
Barbarossaplatz,07100204,1,Niedrig,1,Niedrig,1,Niedrig
Alvenslebenstraße,07100205,2,Mittel,3,Erhöht,2,Mittel
Großgörschenstraße,07100206,2,Mittel,2,Mittel,2,Mittel
Bayerischer Platz,07200307,1,Niedrig,1,Niedrig,2,Mittel
Volkspark (Rudolph-Wilde-Park),07200308,2,Mittel,1,Niedrig,2,Mittel
Belziger Straße,07200409,2,Mittel,1,Niedrig,2,Mittel
Feurigstraße,07200410,2,Mittel,3,Erhöht,2,Mittel
Julius-Leber-Brücke,07200411,2,Mittel,3,Erhöht,2,Mittel
Schöneberger Linse,07200412,2,Mittel,1,Niedrig,2,Mittel
Cheruskerstraße,07200413,2,Mittel,1,Niedrig,1,Niedrig
Hohenfriedbergstraße,07200414,2,Mittel,1,Niedrig,1,Niedrig
Taunusstraße,07300515,1,Niedrig,1,Niedrig,1,Niedrig
Odenwaldstraße,07300516,2,Mittel,1,Niedrig,1,Niedrig
Perelsplatz,07300517,2,Mittel,1,Niedrig,2,Mittel
Ceciliengärten,07300618,1,Niedrig,1,Niedrig,2,Mittel
Grazer Platz,07300619,2,Mittel,1,Niedrig,2,Mittel
Gontermannstraße,07400720,2,Mittel,2,Mittel,1,Niedrig
Paradestraße,07400721,2,Mittel,1,Niedrig,3,Erhöht
Lindenhofsiedlung,07400822,2,Mittel,2,Mittel,2,Mittel
Wittekindstraße,07400823,2,Mittel,2,Mittel,2,Mittel
Bosepark,07400824,2,Mittel,2,Mittel,2,Mittel
Friedrich-Karl-Straße,07400825,2,Mittel,3,Erhöht,2,Mittel
Marienhöhe,07400826,2,Mittel,2,Mittel,2,Mittel
Rathaus Tempelhof,07400927,2,Mittel,2,Mittel,2,Mittel
Germaniagarten,07400928,2,Mittel,3,Erhöht,2,Mittel
Ringstraße,07501029,2,Mittel,2,Mittel,1,Niedrig
Machonstraße,07501030,2,Mittel,2,Mittel,2,Mittel
Eisenacher Straße,07501031,2,Mittel,2,Mittel,2,Mittel
Imbrosweg,07501032,2,Mittel,2,Mittel,1,Niedrig
Fritz-Werner-Straße,07501133,2,Mittel,3,Erhöht,2,Mittel
Hundsteinweg,07501134,1,Niedrig,1,Niedrig,1,Niedrig
Birnhornweg,07501135,1,Niedrig,1,Niedrig,1,Niedrig
Marienfelder Allee Nordwest,07601236,2,Mittel,2,Mittel,2,Mittel
Kirchstraße,07601237,2,Mittel,2,Mittel,2,Mittel
Marienfelde Nordost,07601238,2,Mittel,2,Mittel,2,Mittel
Tirschenreuther Ring West,07601339,2,Mittel,3,Erhöht,2,Mittel
Tirschenreuther Ring Ost,07601340,2,Mittel,3,Erhöht,2,Mittel
Diedersdorfer Weg,07601341,2,Mittel,2,Mittel,2,Mittel
Kettinger Straße,07601442,1,Niedrig,1,Niedrig,2,Mittel
Töpchiner Weg,07601443,1,Niedrig,2,Mittel,1,Niedrig
John-Locke-Straße,07601544,2,Mittel,2,Mittel,2,Mittel
Nahariyastraße,07601545,2,Mittel,2,Mittel,2,Mittel
Franziusweg,07601546,1,Niedrig,1,Niedrig,1,Niedrig
Horstwalder Straße,07601547,1,Niedrig,1,Niedrig,2,Mittel
Wittelsbacherstraße,07601548,1,Niedrig,1,Niedrig,1,Niedrig
Hasenheide,08100101,3,Erhöht,3,Erhöht,2,Mittel
Schillerpromenade Nord,08100102,2,Mittel,2,Mittel,2,Mittel
Schillerpromenade Süd,08100103,2,Mittel,2,Mittel,2,Mittel
Wartheplatz,08100104,2,Mittel,2,Mittel,2,Mittel
Silbersteinstraße,08100105,2,Mittel,3,Erhöht,2,Mittel
Flughafenstraße,08100206,3,Erhöht,2,Mittel,3,Erhöht
Rollberg,08100207,2,Mittel,3,Erhöht,2,Mittel
Körnerpark,08100208,2,Mittel,2,Mittel,2,Mittel
Glasower Straße,08100209,3,Erhöht,3,Erhöht,2,Mittel
Maybachufer,08100310,2,Mittel,2,Mittel,2,Mittel
Reuterplatz,08100311,2,Mittel,2,Mittel,2,Mittel
Weichselplatz,08100312,2,Mittel,2,Mittel,2,Mittel
Bouchéstraße,08100313,1,Niedrig,2,Mittel,1,Niedrig
Donaustraße,08100314,3,Erhöht,3,Erhöht,2,Mittel
Ganghoferstraße,08100415,2,Mittel,2,Mittel,2,Mittel
Alt-Rixdorf,08100416,2,Mittel,2,Mittel,2,Mittel
Braunschweiger Straße,08100417,2,Mittel,3,Erhöht,2,Mittel
Hertzbergplatz,08100418,2,Mittel,2,Mittel,2,Mittel
Treptower Straße Nord,08100419,2,Mittel,3,Erhöht,2,Mittel
Weiße Siedlung,08100520,2,Mittel,3,Erhöht,2,Mittel
Schulenburgpark,08100521,2,Mittel,3,Erhöht,2,Mittel
Jahnstraße,08200622,2,Mittel,4,Stark erhöht,2,Mittel
Park am Buschkrug,08200623,2,Mittel,2,Mittel,3,Erhöht
Tempelhofer Weg,08200624,2,Mittel,3,Erhöht,2,Mittel
Mohriner Allee Nord,08200725,3,Erhöht,1,Niedrig,4,Stark erhöht
Hufeisensiedlung,08200726,2,Mittel,2,Mittel,2,Mittel
Parchimer Allee Süd,08200727,2,Mittel,3,Erhöht,3,Erhöht
Ortolanweg,08200728,2,Mittel,3,Erhöht,2,Mittel
Britzer Garten,08200729,2,Mittel,2,Mittel,1,Niedrig
Handwerker-Siedlung,08200730,2,Mittel,2,Mittel,2,Mittel
Buckow West,08200831,2,Mittel,2,Mittel,1,Niedrig
Buckow Mitte,08200832,2,Mittel,2,Mittel,3,Erhöht
Buckow Ost,08200833,2,Mittel,2,Mittel,2,Mittel
Gropiusstadt Nord-West,08300934,2,Mittel,3,Erhöht,3,Erhöht
Gropiusstadt Süd-West,08300935,2,Mittel,2,Mittel,2,Mittel
Gropiusstadt Mitte,08301036,2,Mittel,4,Stark erhöht,4,Stark erhöht
Gropiusstadt Süd-Ost,08301037,2,Mittel,3,Erhöht,3,Erhöht
Goldhähnchenweg,08401138,2,Mittel,2,Mittel,1,Niedrig
Vogelviertel Süd,08401139,2,Mittel,3,Erhöht,1,Niedrig
Vogelviertel Nord,08401140,2,Mittel,2,Mittel,2,Mittel
Blumenviertel,08401241,2,Mittel,1,Niedrig,2,Mittel
Zittauer Straße,08401242,2,Mittel,1,Niedrig,2,Mittel
Alt-Rudow,08401243,2,Mittel,2,Mittel,2,Mittel
Waßmannsdorfer Chaussee,08401244,2,Mittel,1,Niedrig,2,Mittel
Frauenviertel,08401245,2,Mittel,2,Mittel,2,Mittel
Waltersdorfer Chaussee Ost,08401246,2,Mittel,2,Mittel,2,Mittel
Alt-Treptow,09100101,2,Mittel,2,Mittel,2,Mittel
Plänterwald West,09100202,2,Mittel,2,Mittel,1,Niedrig
Plänterwald Ost,09100203,2,Mittel,2,Mittel,2,Mittel
