PLR_ID,PLR_NAME,charging_stations,charging_points,combined_power
07300618,Ceciliengärten,3.0,5.0,69.0
07300619,Grazer Platz,3.0,6.0,216.0
07400720,Gontermannstraße,2.0,4.0,194.0
07400721,Paradestraße,4.0,7.0,77.0
07400822,Lindenhofsiedlung,6.0,12.0,258.0
07400823,Wittekindstraße,8.0,17.0,2011.0
07400824,Bosepark,3.0,7.0,188.0
07400825,Friedrich-Karl-Straße,2.0,4.0,44.0
07400826,Marienhöhe,,,
07400927,Rathaus Tempelhof,6.0,11.0,188.0
07400928,Germaniagarten,1.0,3.0,122.0
07501029,Ringstraße,8.0,10.0,199.0
07501030,Machonstraße,2.0,4.0,44.0
07501031,Eisenacher Straße,6.0,11.0,304.0
07501032,Imbrosweg,1.0,2.0,22.0
07501133,Fritz-Werner-Straße,7.0,13.0,1144.0
07501134,Hundsteinweg,,,
07501135,Birnhornweg,,,
07601236,Marienfelder Allee Nordwest,,,
07601237,Kirchstraße,,,
07601238,Marienfelde Nordost,12.0,21.0,418.0
07601339,Tirschenreuther Ring West,2.0,3.0,25.0
07601340,Tirschenreuther Ring Ost,,,
07601341,Diedersdorfer Weg,2.0,5.0,281.0
07601442,Kettinger Straße,,,
07601443,Töpchiner Weg,,,
07601544,John-Locke-Straße,3.0,6.0,1462.0
07601545,Nahariyastraße,,,
07601546,Franziusweg,1.0,1.0,3.0
07601547,Horstwalder Straße,,,
07601548,Wittelsbacherstraße,,,
08100101,Hasenheide,2.0,4.0,88.0
08100102,Schillerpromenade Nord,1.0,2.0,22.0
08100103,Schillerpromenade Süd,,,
08100104,Wartheplatz,1.0,2.0,22.0
08100105,Silbersteinstraße,1.0,2.0,22.0
08100206,Flughafenstraße,3.0,6.0,110.0
08100207,Rollberg,6.0,10.0,132.0
08100208,Körnerpark,1.0,2.0,22.0
08100209,Glasower Straße,2.0,4.0,44.0
08100310,Maybachufer,3.0,7.0,166.0
08100311,Reuterplatz,2.0,4.0,66.0
08100312,Weichselplatz,2.0,4.0,44.0
08100313,Bouchéstraße,,,
08100314,Donaustraße,1.0,2.0,22.0
08100415,Ganghoferstraße,5.0,8.0,203.0
08100416,Alt-Rixdorf,,,
08100417,Braunschweiger Straße,5.0,9.0,196.0
08100418,Hertzbergplatz,1.0,2.0,22.0
08100419,Treptower Straße Nord,2.0,3.0,25.0
08100520,Weiße Siedlung,,,
08100521,Schulenburgpark,3.0,6.0,366.0
08200622,Jahnstraße,5.0,10.0,220.0
08200623,Park am Buschkrug,5.0,12.0,318.0
08200624,Tempelhofer Weg,6.0,12.0,1032.0
08200725,Mohriner Allee Nord,1.0,2.0,22.0
08200726,Hufeisensiedlung,,,
08200727,Parchimer Allee Süd,1.0,2.0,300.0
08200728,Ortolanweg,,,
08200729,Britzer Garten,,,
08200730,Handwerker-Siedlung,3.0,7.0,258.0
08200831,Buckow West,1.0,1.0,3.0
08200832,Buckow Mitte,,,
08200833,Buckow Ost,,,
08300934,Gropiusstadt Nord-West,1.0,2.0,44.0
08300935,Gropiusstadt Süd-West,1.0,2.0,22.0
08301036,Gropiusstadt Mitte,,,
08301037,Gropiusstadt Süd-Ost,1.0,1.0,3.0
08401138,Goldhähnchenweg,1.0,2.0,44.0
08401139,Vogelviertel Süd,5.0,8.0,765.0
08401140,Vogelviertel Nord,,,
08401241,Blumenviertel,,,
08401242,Zittauer Straße,1.0,1.0,3.0
08401243,Alt-Rudow,5.0,6.0,132.0
08401244,Waßmannsdorfer Chaussee,1.0,2.0,33.0
08401245,Frauenviertel,1.0,2.0,22.0
08401246,Waltersdorfer Chaussee Ost,,,
09100101,Alt-Treptow,5.0,8.0,72.0
09100202,Plänterwald West,2.0,5.0,130.0
09100203,Plänterwald Ost,2.0,4.0,44.0
09100304,Baumschulenweg West,1.0,3.0,122.0
09100305,Baumschulenweg Ost,4.0,5.0,31.0
09100306,Späthsfelde,2.0,2.0,6.0
09100407,Johannisthal West,5.0,5.0,15.0
09100408,Johannisthal Ost,1.0,2.0,22.0
09100409,Landschaftspark Adlershof,13.0,15.0,815.0
09200510,Helmholtz-Kiez,6.0,8.0,1000.0
09200511,Griechischer Park,3.0,4.0,44.0
09200512,Wuhlheide,,,
09200613,Bahnhof Schöneweide,13.0,28.0,3542.0
09200614,Oberspree,2.0,2.0,6.0
09200715,Wista,18.0,27.0,233.0
09200716,Dörpfeldstraße West,,,
09200717,Dörpfeldstraße Ost,,,
09200818,Spindlersfeld,,,
09200819,Köllnische Vorstadt,,,
09300920,Dorf Altglienicke,7.0,12.0,215.0
09300921,Preußen Siedlung,,,
09300922,Kosmos Viertel,,,
09300923,Kölner Viertel,,,
09301024,Falkenberg,,,
09301025,Alt-Bohnsdorf,10.0,15.0,218.0
09301126,Grünau,2.0,4.0,94.0
09301227,Karolinenhof,,,
09301228,Schmöckwitz/Rauchfangswerder,,,
