PLR_ID,PLR_NAME,EW,KI_08,KI_14,KI_15
04020310,Park Ruhwald,806,0,0.94,22.97
04020311,Reichsstraße,14745,1.24,2.11,47.78
04020312,Branitzer Platz,5573,4.01,1.94,45.91
04020313,Königin-Elisabeth-Straße,7212,11.44,1.94,40.55
04030415,Schloßgarten,3329,0,1.62,38.63
04030416,Klausenerplatz,10334,44.06,1.62,35.21
04030417,Schloßstraße,10786,1.48,1.92,42.99
04030518,Tegeler Weg,9637,0.6,1.9,38.32
04030519,Kaiserin-Augusta-Allee,5930,11.99,1.8,39.27
04030620,Alt-Lietzow,8859,2.53,1.79,38.57
04030621,Spreestadt,3429,3.5,1.67,41.53
04030622,Richard-Wagner-Straße,10811,14.69,1.81,39.6
04030623,Ernst-Reuter-Platz,5157,21.93,1.83,40.9
04030724,Lietzensee,6488,2.41,1.86,43.6
04030725,Amtsgerichtsplatz,12142,1.23,1.85,43.63
04030726,Droysenstraße,5641,2.58,1.95,46.74
04030827,Karl-August-Platz,12155,0.96,1.69,37.92
04030828,Savignyplatz,9538,4.3,1.95,46.57
04030929,Hindemithplatz,5964,1.44,2.12,51.71
04030930,George-Grosz-Platz,5597,1.92,2.33,61.72
04030931,Breitscheidplatz,3581,0,2.1,53.74
04031032,Halensee,15602,3.03,1.98,46.53
04041134,Bismarckallee,5470,7.17,2.02,54.83
04041135,Hundekehle,2786,2.25,2.57,73.4
04041136,Hagenplatz,3173,0.34,2.42,68
04041137,Flinsberger Platz,8264,4.88,2.07,44.07
04041238,Kissinger Straße,6081,11.69,1.95,44.79
04041239,Stadion Wilmersdorf,1038,0,1.28,35.2
04041240,Messelpark,1513,0,2.64,70.25
04041241,Breite Straße,7023,4.96,1.97,42.69
04041342,Schlangenbader Straße,4178,61.27,1.87,38.58
04041343,Binger Straße,3574,4.75,2.09,45.17
04041344,Rüdesheimer Platz,10593,0,1.83,42.47
04051445,Eisenzahnstraße,6496,10.24,1.8,37.71
04051446,Preußenpark,11048,0.33,1.97,46.42
04051447,Ludwigkirchplatz,5283,0.94,1.98,45.87
04051448,Schaperstraße,9334,4.3,1.93,45.53
04051549,Rathaus Wilmersdorf,4715,10.03,1.7,34.84
04051550,Leon-Jessel-Platz,5625,0.39,1.85,41.38
04051551,Brabanter Platz,4436,1.65,1.77,38.49
04051652,Nikolsburger Platz,9834,0.72,1.88,44.15
04051653,Prager Platz,6913,9.31,1.95,44.6
04051654,Wilhelmsaue,3071,0,1.85,41.11
04051655,Babelsberger Straße,7489,2.28,1.75,39.25
04051656,Hildegardstraße,7572,8.77,1.84,41.13
05010101,Hakenfelde Nord,10672,1.75,1.62,35.44
05010102,Goltzstraße,8500,0.38,1.7,34.18
05010103,Amorbacher Weg,7608,0,2.15,43.68
05010204,Griesingerstraße,3619,55.27,1.35,27.81
05010205,An der Tränke,2314,0,1.91,41.83
05010206,Gütersloher Weg,10703,23.38,1.67,35.72
05010207,Darbystraße,11547,28.79,1.73,32.1
05010208,Germersheimer Platz,7709,16.93,1.94,34.25
05010209,An der Kappe,6068,2.33,2.01,41.85
05010310,Eckschanze,4025,6.32,1.77,34.96
05010311,Eiswerder,5756,3.53,1.21,27.88
05010312,Kurstraße,7335,1.6,1.46,31.14
05010313,Ackerstraße,6753,1.86,1.68,35.42
05010314,Carl-Schurz-Straße,12340,26.79,1.81,35.03
05010339,Freiheit,957,0,0.8,18.68
05020415,Isenburger Weg,3839,0,1.94,42.78
05020416,Am Heideberg,1694,0,2.16,35.49
05020417,Staakener Straße,5780,0.52,2.07,43.7
05020418,Spandauer Straße,4386,0,1.65,33.86
05020419,Magistratsweg,7200,43.5,1.79,35.94
05020420,Werkstraße,1170,4.63,1.79,40.16
05020521,Döberitzer Weg,3254,0,1.74,39.03
05020522,Pillnitzer Weg,7571,17.38,1.61,30.96
05020523,Maulbeerallee,12398,83.5,1.53,30.96
05020524,Weinmeisterhornweg,6241,9.54,2.18,46.35
05020625,Borkumer Straße,7858,0.37,1.81,37.68
05020626,Adamstraße,18268,2.58,1.89,37.62
05020627,Tiefwerder,4453,29.95,1.62,33.97
05020628,Graetschelsteig,2003,84.85,1.99,38.88
05020629,Börnicker Straße,4436,0,2.34,55.63
05030730,Zitadellenweg,4608,26.85,1.21,24.11
05030731,Gartenfelder Straße,11885,61.5,1.77,33.25
05030832,Rohrdamm,12254,0,1.65,34.26
05030833,Motardstraße,486,0,1.21,32.01
05040934,Alt-Gatow,3198,5.6,2.3,54.64
05040935,Groß-Glienicker Weg,444,34.65,1.75,33.5
05040936,Jägerallee,10315,0,2.11,49.65
05040937,Kladower Damm,2198,0,2.26,50.96
05040938,Kafkastraße,3682,0,2.28,50.38
06010101,Fichtenberg,6988,0.79,2.06,45.18
06010102,Schloßstraße,8808,0.35,1.91,42.83
06010103,Markelstraße,6281,0.24,1.84,40.18
06010204,Munsterdamm,6887,0.05,1.75,37.54
06010205,Südende,9881,1.53,1.86,41.35
06010206,Stadtpark,7694,0,1.93,40.68
06010207,Mittelstraße,8008,1.38,1.92,40.7
06010208,Bergstraße,6824,0.87,1.87,40.96
06010209,Feuerbachstraße,9339,5.79,1.84,38.6
06010210,Bismarckstraße,4868,1.62,1.9,38.62
06020301,Alt-Lankwitz,4937,0,2.01,42.49
06020302,Komponistenviertel Lankwitz,6097,2.6,1.76,39.19
06020303,Lankwitz Kirche,7410,15.1,1.83,37
06020304,Kaiser-Wilhelm-Straße,7313,29.35,1.84,37.7
06020305,Gemeindepark Lankwitz,11399,5.55,1.74,35.03
06020306,Lankwitz Süd,6402,8.72,2.11,45.89
06020407,Thermometersiedlung,4636,0,1.73,34.18
06020408,Lichterfelde Süd,7055,12.6,2,40.52
06020409,Königsberger Straße,8349,0.46,1.91,43.17
06020410,Oberhofer Platz,7062,0.17,2.1,46.93
06020411,Schütte-Lanz-Straße,8627,23.43,1.99,42.67
06030501,Berlepschstraße,5670,0,2.06,44.96
06030502,Zehlendorf Süd,5616,8.19,1.88,37.11
06030503,Zehlendorf Mitte,11696,3.7,2.11,44.37
06030504,Teltower Damm,11050,0.26,2.14,48.18
06030605,Botanischer Garten,7088,0.58,1.98,44.59
