PLR_NAME,PLR_ID,EW,S1,S3,S4,D1,D3,D4,SI_N,SI_V,DI_N,DI_V,SDI_V,KI_01,KI_02,KI_03,KI_04,KI_05,KI_16,KI_06,KI_17,KI_07,KI_09,KI_10,KI_11,KI_12,KI_13
Zillesiedlung,01200627,3280,11.22497,25.73171,46.27575,4.57029,-0.15661,8.83733,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",6.98,30.3,21.31,85.71,64.79,33.23,-0.42,80.83,42.9,100,68.09,19.86,-1.41,2.29
Lüneburger Straße,01200628,3132,2.97114,8.42912,13.39286,-0.42323,-0.60505,-0.93379,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.09,28.32,14.32,67.16,42.4,22.77,0.56,60.87,10.96,0,63.68,27.46,1.18,0.36
Hansaviertel,01200629,5807,2.6405,6.73325,14.08776,0.31942,-0.54452,-0.5634,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.19,24.2,9.39,60.12,47.89,34.06,0.22,64.36,6.79,0,60.57,29.8,0.33,-7.02
Drontheimer Straße,01300730,7957,12.874,29.88564,65.31184,4.07387,-3.90597,-2.36903,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",9.68,32.1,18.94,88.74,71.47,46.7,-1.12,65.74,42.54,99.55,60.92,34.38,-2.8,0.01
Koloniestraße,01300731,8545,10.63864,26.28438,61.98347,2.7854,-3.73843,-1.45426,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",7.37,31.72,18.94,81.4,58.27,37.78,-0.78,64.87,41.96,100,62.11,29.15,-0.89,-3.41
Soldiner Straße,01300732,9879,10.81823,27.62425,61.62034,2.76091,-3.0859,-5.26549,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",7.17,32.99,18.92,83.85,62.24,39.49,-0.59,67.65,46.05,99.96,63.19,25.11,-1.43,-6.88
Gesundbrunnen,01300733,11665,9.30286,23.87484,55.9633,2.94275,-1.63291,0.69448,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",6.29,27.86,14.86,83.59,61.93,37.88,-1.06,69.72,39.43,99.95,64.48,26.2,-2.14,-5.04
Brunnenstraße,01300834,14193,10.46059,27.34447,52.3088,3.39883,-2.93788,-3.06615,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",7.78,24.54,19.62,86.53,66.36,30.32,-0.52,80.41,43.7,99.24,67.42,19.09,0.38,1.31
Humboldthain Süd,01300835,10443,7.65557,20.09001,44.77887,2.20995,-1.93861,-1.80073,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",3.39,29.19,11.38,83.87,59.6,30.22,1.54,75.19,29.72,100,67.85,24.37,1.21,-0.93
Humboldthain Nordwest,01300836,14657,10.68295,26.0831,61.47578,3.05583,-2.88721,-0.42898,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",6.69,28.22,17.95,86.37,64.58,39.93,-0.43,70.42,40.42,99.32,60.76,31.32,-0.41,-3.97
Afrikanische Straße,01400937,10804,8.06597,17.39171,42.90008,1.92969,-2.28131,-5.28805,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",4.15,36.58,12.38,71.96,48.24,28.98,0.42,64.39,31.23,100,65.53,23.05,-0.71,-6.92
Kameruner Straße,01400938,9725,7.75226,17.52185,46.3353,2.22322,-1.86295,-3.70538,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",6.17,28.14,12.42,75.23,52.66,34.25,-0.63,60.7,30.22,100,61.88,30.32,-1.68,-7.81
Glasgower Straße,01400939,5926,8.05354,17.58353,45.20918,2.3232,-1.99087,-2.48956,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",4.05,33.72,7.34,74.46,51.91,36.16,0.54,63.37,30.08,100,60.11,28.6,-0.23,-6.27
Schillerpark,01400940,6794,7.88804,16.57345,43.34061,2.35681,-3.01928,-2.92158,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.22,38.2,7.33,62.87,35.37,16.09,1.03,67.15,35.74,50.97,70.24,15.54,-0.06,-6.59
Londoner Straße,01400941,3786,7.03448,13.99894,42.34694,2.20532,-1.72876,-2.73078,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.3,29.6,7.38,80.41,44.4,24.56,1.14,66.56,28.15,100,66.98,19.8,1.41,-2.63
Westliche Müllerstraße,01400942,8643,7.1553,17.14682,47.6828,1.59654,-2.90154,-6.62582,3,niedrig,1,positiv,"Status niedrig , Dynamik positiv",4.01,30.1,16.37,77.08,53.72,36.63,-0.7,63.55,29.8,100,56.66,36.88,-0.39,-3.4
Antonstraße,01401043,7739,10.77886,26.95439,60.18779,2.09216,-3.25078,-3.40013,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",6.91,27.74,18.55,87.97,66.89,40.03,-1.91,68.66,42.2,98.85,64.58,26.02,-0.7,-5.62
Uferstraße,01401044,10224,10.3426,26.24218,62.31884,2.80861,-3.48215,-6.90211,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",7.71,28.59,18.63,87.79,67.42,43.61,-1.18,64.07,38.76,100,61.36,27.23,-2.43,-1.65
Schwedenstraße,01401045,5722,10.907,27.36805,59.93624,4.21686,-2.63195,-0.8885,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",7.94,28.47,18.54,91.01,72.95,45.79,-0.76,67.98,40.09,100,63.5,31,-1.62,-4.91
Nordufer,01401046,8781,7.05882,14.95274,34.69602,1.54933,-2.44144,-7.71851,2,mittel,1,positiv,"Status mittel , Dynamik positiv",4.29,28.89,19.07,70.92,49.28,31.39,-1.61,62.59,24.11,99.69,55.58,33.55,-2.6,-9.14
Sparrplatz,01401047,7867,7.95526,18.91445,51.68651,2.07742,-4.07934,-7.06947,3,niedrig,1,positiv,"Status niedrig , Dynamik positiv",6.22,26.75,18.98,83.03,69.52,50.82,-0.1,70.81,25.16,100,56.51,37.3,-1.35,-8.2
Leopoldplatz,01401048,9098,8.90001,21.64212,51.91606,1.92771,-3.12091,-1.52771,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",5.57,26.64,22.32,77.3,58.97,37.28,-0.78,64.86,32.54,100,62.29,30.92,-1.15,-3.74
Schulstraße,01401049,6689,11.32157,26.87995,65.13234,2.80344,-3.24498,-1.60495,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",8.06,33.03,22.32,84.51,61.2,42.07,-0.48,61.55,43.43,100,60.04,25.6,-2.64,-9.47
Askanischer Platz,02100101,6281,8.42778,21.17497,44.22404,2.35628,0.04057,3.99535,3,niedrig,5,negativ,"Status niedrig , Dynamik negativ",7.17,23.04,24.69,88.92,69.51,40.44,-4.42,71.42,25.85,95.59,57.21,49.03,-4.59,-11.75
Mehringplatz,02100102,8647,11.04756,27.33896,53.43728,2.5186,-2.11115,-2.60992,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",8.56,25.31,25.96,91.87,71.1,34.91,-0.26,75.22,34.82,100,65.45,27.64,0.91,0.78
Am Berlin Museum,02100103,5382,10.45886,25.23226,50.76253,2.77273,-1.94186,3.81719,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",5.61,26.1,25.93,85.05,63.36,32.33,1.48,76.9,35.28,100,66.76,24.04,1.23,-1.43
Moritzplatz,02100104,5567,12.0437,26.76486,56.93512,2.28274,-1.50105,3.51897,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",5.63,29.26,18.58,91.74,69.32,37.26,0.02,82.64,38.85,100,71.88,21.44,0.06,-2.42
Prinzenstraße,02100105,9604,12.92965,29.73761,63.83812,2.08234,-3.18985,-0.79308,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",8.47,29.52,18.54,89.68,71.25,34.66,0.02,81.32,42.6,100,76.16,18.55,-1.06,-5.25
Wassertorplatz,02100106,5009,12.27336,29.34718,61.7207,3.2022,-2.01342,1.67198,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",8.44,25.2,26.85,82.91,65.34,31.9,-0.76,78.91,45.62,100,71.51,18.75,-0.7,-5.59
Gleisdreieck,02200207,2067,0.99857,3.0479,6.16622,0.10134,-0.24819,-0.28539,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,13.39,2.74,52.22,40.11,23.22,1.77,65.42,5.12,55.73,19.46,31.08,6.28,-4.08
Rathaus Yorckstraße,02200208,6008,5.49548,12.38349,24.35424,1.12021,-1.37286,-3.28621,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.34,28.88,14.01,53.41,44.32,28.15,-0.92,62.33,22.68,31.09,62.74,32.97,-1.23,-6.99
Viktoriapark,02200209,10969,4.11074,8.38727,16.11625,0.79681,-1.0827,-1.66005,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.08,22.33,12.6,51.49,40.62,24.86,0.02,58.2,15.01,2.87,62.82,27.64,-0.96,-2.42
Urbanstraße,02200210,12384,4.63859,10.12597,19.42634,1.21127,-0.82031,-0.5483,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.36,28.52,13.44,53.31,43.77,27.72,0.11,58,16.88,0,63.1,28.07,-2.12,-7.43
Chamissokiez,02200211,14760,4.6166,9.85095,17.35107,1.26044,-0.36286,-1.69112,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.86,29.87,13.55,53.79,41.84,24.69,-0.87,61.06,14.47,0,66.4,26.97,-1.49,-5.31
Graefekiez Süd,02200212,8602,7.96134,17.33318,34.8763,2.49354,-2.13123,-1.83754,2,mittel,3,stabil,"Status mittel , Dynamik stabil",8.63,30.3,16.51,64,50.36,27.13,0.05,65.81,28.23,12.71,69.36,21.36,-0.46,-4.64
Graefekiez Nord,02200213,10284,4.83483,11.40607,17.7761,1.07703,-0.42416,-1.43819,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.88,28.47,16.49,55.82,45.58,29.22,0.66,57,18.29,30.31,64.05,27.29,-1.15,-6.21
Oranienplatz,02300314,7587,10.22903,21.61592,47.93103,3.05504,-1.17537,2.21099,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",7.86,30.71,20.99,73.66,60.96,36.84,-1.04,80.39,33.65,100,73.1,20.87,-1.2,-3.63
Lausitzer Platz,02300315,8723,8.37658,19.6492,37.23958,2.46338,-1.0031,1.21629,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",6.93,32.14,21.55,69.46,57.77,34.84,0.67,74.23,29.32,100,70.26,24.51,-1.47,-4.04
Köpenicker Straße,02300316,4215,6.65615,16.18031,31.96078,0.95156,-1.07964,2.23637,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.67,32.88,21.68,63.71,49.37,28.99,-0.33,68.09,25.81,100,68.52,22.08,-0.57,-6.89
Reichenberger Straße West,02300417,8433,7.66651,16.74374,33.23917,1.94627,-1.76445,-4.23814,2,mittel,3,stabil,"Status mittel , Dynamik stabil",6.74,31.28,18.64,67.81,55.09,34.31,-0.64,68.48,24.75,100,65.66,25.87,-1.04,-6.39
Reichenberger Straße Ost,02300418,7710,6.69401,13.46304,23.81974,1.92366,-1.39286,-3.398,2,mittel,3,stabil,"Status mittel , Dynamik stabil",7.29,31.16,18.16,54.73,48.02,30.43,0.19,62.23,19.53,90.86,66,26.53,-1.6,-5.4
Wrangelkiez,02300419,10903,6.22411,12.94139,24.55043,1.23636,-1.06684,0.25413,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.86,30.19,15.88,59.27,51.27,33.33,-0.11,65.66,20.82,100,66.41,27.6,-1.68,-8.82
Barnimkiez,02400520,5451,7.10692,11.0255,33.33333,1.97788,-1.77598,-3.36088,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.91,41.13,2.22,59.52,31.66,17.68,1.62,73.13,27.62,0,71.08,17.74,2.34,15.91
Friedenstraße,02400521,7858,4.36859,8.72996,21.73913,1.51145,-1.01074,-2.26087,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.87,33.2,3.87,50.99,33.98,21.37,1.78,63.07,18.06,0,58.75,28.68,2.75,2.58
Richard-Sorge-Viertel,02400522,11262,3.29814,6.55301,13.20631,0.64748,-0.37538,-0.77732,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.61,28.13,3.13,41.44,29.56,18.93,1.64,57.13,13.94,0,59.13,27.46,0.4,-7.52
Andreasviertel,02400623,13307,5.78179,13.33133,37.24305,1.2323,-0.43949,-2.28575,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.89,37.99,5.79,68.81,45.69,29.58,2.36,75.74,21.69,0,58.13,28.15,0.77,0.03
Weberwiese,02400624,11314,3.63207,5.88651,10.94891,1.17363,0.06313,2.29812,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.9,28.83,3.96,37.31,33.44,23.93,4.14,58.33,9.69,0,58.52,36.02,1.02,-6.23
Wriezener Bahnhof,02400625,1136,6.00858,17.69366,57.69231,0.66099,-3.25872,-0.84428,3,niedrig,3,stabil,"Status niedrig , Dynamik stabil",9.24,22.35,22.73,92.27,68.84,60.83,1.43,43.42,27.03,56.43,46.75,42.67,-1.64,-18.47
Hausburgviertel,02500726,9134,4.72577,9.15262,18.65737,0.85727,0.12149,1.18525,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.6,31.96,9.26,43.42,35.76,25.13,3.01,58.08,14.51,0,53.85,33.07,-0.82,-10.26
Forckenbeckplatz,02500727,6623,3.81794,8.45538,14.26844,0.39145,-0.3284,-0.54637,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.95,28.31,9.81,45.15,36.57,25.92,1.57,50.26,11.69,0,50.61,32.59,0.87,-6.99
Samariterviertel,02500728,10109,4.34627,7.31032,11.05491,1.24646,-0.63731,-1.33989,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.28,30.12,9.71,35.14,33.02,23.28,2.05,53.42,11.59,0,55.78,33.17,0.92,-3.63
