,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
01,Mitte,01300836,Humboldthain Nordwest, 7 566 , 99.1 , -   , 1 500 , 19.7 , -   , 7 571 , 99.2 , 0.1 , 2 534 , 33.2 , 13.5 
01,Mitte,01400937,Afrikanische Straße, 5 566 , 99.1 , -   , 419 , 7.5 , -   , 5 566 , 99.1 , -   , 419 , 7.5 , -   
01,Mitte,01400938,Kameruner Straße, 4 459 , 99.6 , -   , 1 093 , 24.4 , -   , 4 459 , 99.6 , -   , 1 093 , 24.4 , -   
01,Mitte,01400939,Glasgower Straße, 3 286 , 98.6 , -   , 255 , 7.6 , -   , 3 286 , 98.6 , -   , 255 , 7.6 , -   
01,Mitte,01400940,Schillerpark, 3 764 , 99.9 , -   , 2 218 , 58.8 , -   , 3 764 , 99.9 , -   , 2 218 , 58.8 , -   
01,Mitte,01400941,Londoner Straße, 1 766 , 84.3 , -   , 68 , 3.2 , -   , 1 766 , 84.3 , -   , 68 , 3.2 , -   
01,Mitte,01400942,Westliche Müllerstraße, 4 928 , 100.0 , -   , 4 920 , 99.8 , -   , 4 928 , 100.0 , -   , 4 920 , 99.8 , -   
01,Mitte,01401043,Antonstraße, 3 622 , 99.3 , -   , 470 , 12.9 , -   , 3 622 , 99.3 , -   , 470 , 12.9 , -   
01,Mitte,01401044,Uferstraße, 5 493 , 99.4 , -   , 529 , 9.6 , -   , 5 493 , 99.4 , -   , 2 138 , 38.7 , 29.1 
01,Mitte,01401045,Schwedenstraße, 2 596 , 96.1 , -   , 263 , 9.7 , -   , 2 596 , 96.1 , -   , 263 , 9.7 , -   
01,Mitte,01401046,Nordufer, 5 345 , 100.0 , -   , 5 345 , 100.0 , -   , 5 345 , 100.0 , -   , 5 345 , 100.0 , -   
01,Mitte,01401047,Sparrplatz, 4 300 , 100.0 , -   , 4 300 , 100.0 , -   , 4 300 , 100.0 , -   , 4 300 , 100.0 , -   
01,Mitte,01401048,Leopoldplatz, 5 587 , 99.3 , -   , 398 , 7.1 , -   , 5 624 , 100.0 , 0.7 , 5 624 , 100.0 , 92.9 
01,Mitte,01401049,Schulstraße, 3 832 , 98.5 , -   , 469 , 12.1 , -   , 3 837 , 98.6 , 0.1 , 2 927 , 75.2 , 63.1 
02,Friedrichshain-Kreuzberg,02100101,Askanischer Platz, 4 040 , 96.8 , -   , 2 364 , 56.6 , -   , 4 040 , 96.8 , -   , 2 364 , 56.6 , -   
02,Friedrichshain-Kreuzberg,02100102,Mehringplatz, 4 740 , 95.7 , -   , 2 548 , 51.5 , -   , 4 740 , 95.7 , -   , 2 548 , 51.5 , -   
02,Friedrichshain-Kreuzberg,02100103,Am Berlin Museum, 2 480 , 96.5 , -   , 264 , 10.3 , -   , 2 480 , 96.5 , -   , 264 , 10.3 , -   
02,Friedrichshain-Kreuzberg,02100104,Moritzplatz, 3 047 , 94.2 , -   , 1 130 , 34.9 , -   , 3 047 , 94.2 , -   , 1 130 , 34.9 , -   
02,Friedrichshain-Kreuzberg,02100105,Prinzenstraße, 3 929 , 83.9 , -   , 697 , 14.9 , -   , 3 929 , 83.9 , -   , 697 , 14.9 , -   
02,Friedrichshain-Kreuzberg,02100106,Wassertorplatz, 2 442 , 100.0 , -   , 2 437 , 99.8 , -   , 2 442 , 100.0 , -   , 2 437 , 99.8 , -   
02,Friedrichshain-Kreuzberg,02200207,Gleisdreieck, 1 201 , 99.3 , -   , 1 088 , 90.0 , -   , 1 201 , 99.3 , -   , 1 088 , 90.0 , -   
