,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
03,Pankow,03701556,Kollwitzplatz, 5 467 , 99.3 , -   , 1 910 , 34.7 , -   , 5 467 , 99.3 , -   , 1 910 , 34.7 , -   
03,Pankow,03701657,Thälmannpark, 1 755 , 99.3 , -   , 420 , 23.8 , -   , 1 755 , 99.3 , -   , 420 , 23.8 , -   
03,Pankow,03701658,Christburger Straße, 5 255 , 99.7 , -   , 1 120 , 21.3 , -   , 5 269 , 100.0 , 0.3 , 5 268 , 100.0 , 78.7 
03,Pankow,03701659,Immanuelkirchstraße, 5 754 , 99.2 , -   , 1 021 , 17.6 , -   , 5 797 , 100.0 , 0.8 , 5 784 , 99.8 , 82.2 
03,Pankow,03701660,Bötzowstraße, 7 629 , 98.1 , -   , 2 792 , 35.9 , -   , 7 629 , 98.1 , -   , 2 792 , 35.9 , -   
04,Charlottenburg-Wilmersdorf,04100101,Jungfernheide/Plötzensee, 6 371 , 96.5 , -   , 293 , 4.4 , -   , 6 371 , 96.5 , -   , 293 , 4.4 , -   
04,Charlottenburg-Wilmersdorf,04100102,Paul-Hertz-Siedlung, 3 764 , 99.5 , -   , -   , -   , -   , 3 764 , 99.5 , -   , -   , -   , -   
04,Charlottenburg-Wilmersdorf,04200203,Olympiagelände, 708 , 96.7 , -   , 4 , 0.5 , -   , 708 , 96.7 , -   , 4 , 0.5 , -   
04,Charlottenburg-Wilmersdorf,04200204,Angerburger Allee, 1 510 , 95.4 , -   , 72 , 4.6 , -   , 1 510 , 95.4 , -   , 72 , 4.6 , -   
04,Charlottenburg-Wilmersdorf,04200205,Flatowallee, 1 076 , 63.8 , -   , 5 , 0.3 , -   , 1 076 , 63.8 , -   , 5 , 0.3 , -   
04,Charlottenburg-Wilmersdorf,04200206,Kranzallee, 1 372 , 94.9 , -   , 105 , 7.3 , -   , 1 372 , 94.9 , -   , 105 , 7.3 , -   
04,Charlottenburg-Wilmersdorf,04200207,Eichkamp, 1 605 , 94.1 , -   , 445 , 26.1 , -   , 1 605 , 94.1 , -   , 445 , 26.1 , -   
04,Charlottenburg-Wilmersdorf,04200308,Branitzer Platz, 3 548 , 92.9 , -   , 261 , 6.8 , -   , 3 548 , 92.9 , -   , 263 , 6.9 , 0.1 
04,Charlottenburg-Wilmersdorf,04200309,Neu Westend, 3 615 , 88.0 , -   , 216 , 5.3 , -   , 3 615 , 88.0 , -   , 216 , 5.3 , -   
04,Charlottenburg-Wilmersdorf,04200310,Fürstenplatz, 4 607 , 97.6 , -   , 292 , 6.2 , -   , 4 609 , 97.7 , 0.1 , 458 , 9.7 , 3.5 
04,Charlottenburg-Wilmersdorf,04200311,Königin-Elisabeth-Straße, 4 472 , 98.2 , -   , 911 , 20.0 , -   , 4 499 , 98.8 , 0.6 , 1 449 , 31.8 , 11.8 
04,Charlottenburg-Wilmersdorf,04300412,Schlossgarten, 2 501 , 85.6 , -   , 979 , 33.5 , -   , 2 904 , 99.4 , 13.8 , 2 590 , 88.7 , 55.2 
04,Charlottenburg-Wilmersdorf,04300413,Klausenerplatz, 5 781 , 99.6 , -   , 367 , 6.3 , -   , 5 803 , 100.0 , 0.4 , 5 803 , 100.0 , 93.7 
04,Charlottenburg-Wilmersdorf,04300414,Schloßstraße, 6 691 , 100.0 , -   , 3 464 , 51.8 , -   , 6 691 , 100.0 , -   , 6 691 , 100.0 , 48.2 
04,Charlottenburg-Wilmersdorf,04300415,Lietzensee, 4 093 , 100.0 , -   , 4 093 , 100.0 , -   , 4 093 , 100.0 , -   , 4 093 , 100.0 , -   
04,Charlottenburg-Wilmersdorf,04300416,Amtsgerichtsplatz, 7 728 , 100.0 , -   , 7 728 , 100.0 , -   , 7 728 , 100.0 , -   , 7 728 , 100.0 , -   
04,Charlottenburg-Wilmersdorf,04300517,Tegeler Weg, 5 863 , 99.7 , -   , 1 356 , 23.1 , -   , 5 863 , 99.7 , -   , 1 356 , 23.1 , -   
04,Charlottenburg-Wilmersdorf,04300518,Kaiserin-Augusta-Allee, 3 489 , 97.5 , -   , 889 , 24.9 , -   , 3 489 , 97.5 , -   , 889 , 24.9 , -   
04,Charlottenburg-Wilmersdorf,04300619,Alt-Lietzow, 5 347 , 100.0 , -   , 5 347 , 100.0 , -   , 5 347 , 100.0 , -   , 5 347 , 100.0 , -   
04,Charlottenburg-Wilmersdorf,04300620,Spreestadt, 2 937 , 98.8 , -   , 2 263 , 76.1 , -   , 2 937 , 98.8 , -   , 2 266 , 76.2 , 0.1 
04,Charlottenburg-Wilmersdorf,04300621,Richard-Wagner-Straße, 7 221 , 99.9 , -   , 7 221 , 99.9 , -   , 7 231 , 100.0 , 0.1 , 7 231 , 100.0 , 0.1 
04,Charlottenburg-Wilmersdorf,04300622,Ernst-Reuter-Platz, 3 476 , 97.6 , -   , 3 253 , 91.3 , -   , 3 514 , 98.7 , 1.1 , 3 444 , 96.7 , 5.4 
04,Charlottenburg-Wilmersdorf,04300623,Karl-August-Platz, 8 346 , 99.3 , -   , 4 777 , 56.9 , -   , 8 350 , 99.4 , 0.1 , 6 924 , 82.4 , 25.5 
04,Charlottenburg-Wilmersdorf,04300624,Savignyplatz, 7 201 , 99.4 , -   , 1 711 , 23.6 , -   , 7 204 , 99.4 , -   , 5 291 , 73.0 , 49.4 
04,Charlottenburg-Wilmersdorf,04400725,Güterbahnhof Grunewald, 29 , 87.9 , -   , 2 , 6.1 , -   , 29 , 87.9 , -   , 2 , 6.1 , -   
04,Charlottenburg-Wilmersdorf,04400726,Bismarckallee, 3 014 , 90.7 , -   , 191 , 5.7 , -   , 3 014 , 90.7 , -   , 191 , 5.7 , -   
04,Charlottenburg-Wilmersdorf,04400727,Flinsberger Platz, 4 858 , 98.9 , -   , 226 , 4.6 , -   , 4 858 , 98.9 , -   , 226 , 4.6 , -   
04,Charlottenburg-Wilmersdorf,04400728,Hagenplatz, 2 083 , 98.4 , -   , 37 , 1.7 , -   , 2 083 , 98.4 , -   , 37 , 1.7 , -   
04,Charlottenburg-Wilmersdorf,04400729,Hundekehle, 1 771 , 96.9 , -   , 41 , 2.2 , -   , 1 771 , 96.9 , -   , 41 , 2.2 , -   
04,Charlottenburg-Wilmersdorf,04400830,Forckenbeckstraße, 4 282 , 94.3 , -   , 450 , 9.9 , -   , 4 282 , 94.3 , -   , 450 , 9.9 , -   
04,Charlottenburg-Wilmersdorf,04400831,Messelpark, 1 027 , 95.6 , -   , 3 , 0.3 , -   , 1 027 , 95.6 , -   , 3 , 0.3 , -   
04,Charlottenburg-Wilmersdorf,04400832,Breite Straße, 4 188 , 97.2 , -   , 30 , 0.7 , -   , 4 188 , 97.2 , -   , 30 , 0.7 , -   
04,Charlottenburg-Wilmersdorf,04400833,Schlangenbader Straße, 2 596 , 98.9 , -   , 23 , 0.9 , -   , 2 596 , 98.9 , -   , 23 , 0.9 , -   
04,Charlottenburg-Wilmersdorf,04400834,Binger Straße, 2 054 , 97.7 , -   , 157 , 7.5 , -   , 2 054 , 97.7 , -   , 161 , 7.7 , 0.2 
04,Charlottenburg-Wilmersdorf,04400835,Rüdesheimer Platz, 5 895 , 97.3 , -   , 928 , 15.3 , -   , 6 045 , 99.7 , 2.4 , 3 815 , 62.9 , 47.6 
04,Charlottenburg-Wilmersdorf,04500936,Droysenstraße, 3 785 , 100.0 , -   , 3 785 , 100.0 , -   , 3 785 , 100.0 , -   , 3 785 , 100.0 , -   
04,Charlottenburg-Wilmersdorf,04500937,Halensee, 5 335 , 99.9 , -   , 4 653 , 87.1 , -   , 5 338 , 99.9 , -   , 4 657 , 87.2 , 0.1 
04,Charlottenburg-Wilmersdorf,04500938,Hochmeisterplatz, 5 125 , 97.8 , -   , 4 937 , 94.3 , -   , 5 234 , 99.9 , 2.1 , 5 234 , 99.9 , 5.6 
04,Charlottenburg-Wilmersdorf,04500939,Eisenzahnstraße, 3 962 , 98.8 , -   , 3 230 , 80.5 , -   , 4 011 , 100.0 , 1.2 , 4 011 , 100.0 , 19.5 
04,Charlottenburg-Wilmersdorf,04501040,Hindemithplatz, 4 476 , 100.0 , -   , 3 927 , 87.7 , -   , 4 476 , 100.0 , -   , 4 476 , 100.0 , 12.3 
04,Charlottenburg-Wilmersdorf,04501041,George-Grosz-Platz, 5 871 , 99.5 , -   , 5 114 , 86.6 , -   , 5 902 , 100.0 , 0.5 , 5 902 , 100.0 , 13.4 
04,Charlottenburg-Wilmersdorf,04501042,Breitscheidplatz, 4 594 , 99.9 , -   , 2 514 , 54.7 , -   , 4 598 , 100.0 , 0.1 , 3 436 , 74.7 , 20.0 
04,Charlottenburg-Wilmersdorf,04501043,Preußenpark, 7 269 , 100.0 , -   , 7 191 , 98.9 , -   , 7 272 , 100.0 , -   , 7 254 , 99.8 , 0.9 
04,Charlottenburg-Wilmersdorf,04501044,Ludwigkirchplatz, 3 813 , 98.3 , -   , 2 961 , 76.3 , -   , 3 880 , 100.0 , 1.7 , 3 880 , 100.0 , 23.7 
04,Charlottenburg-Wilmersdorf,04501045,Schaperstraße, 6 429 , 99.1 , -   , 3 047 , 47.0 , -   , 6 478 , 99.9 , 0.8 , 4 011 , 61.8 , 14.8 
04,Charlottenburg-Wilmersdorf,04501146,Barstraße, 2 799 , 98.2 , -   , 2 365 , 83.0 , -   , 2 849 , 99.9 , 1.7 , 2 801 , 98.2 , 15.2 
04,Charlottenburg-Wilmersdorf,04501147,Leon-Jessel-Platz, 3 450 , 99.6 , -   , 2 711 , 78.2 , -   , 3 465 , 100.0 , 0.4 , 3 465 , 100.0 , 21.8 
04,Charlottenburg-Wilmersdorf,04501148,Brabanter Platz, 2 549 , 99.8 , -   , 2 377 , 93.1 , -   , 2 552 , 100.0 , 0.2 , 2 538 , 99.4 , 6.3 
04,Charlottenburg-Wilmersdorf,04501149,Nikolsburger Platz, 6 079 , 98.9 , -   , 4 081 , 66.4 , -   , 6 146 , 100.0 , 1.1 , 6 146 , 100.0 , 33.6 
04,Charlottenburg-Wilmersdorf,04501150,Wilhelmsaue, 1 953 , 94.6 , -   , 1 426 , 69.1 , -   , 1 959 , 94.9 , 0.3 , 1 799 , 87.2 , 18.1 
04,Charlottenburg-Wilmersdorf,04501151,Hildegardstraße, 4 490 , 99.9 , -   , 2 853 , 63.5 , -   , 4 494 , 100.0 , 0.1 , 4 447 , 99.0 , 35.5 
04,Charlottenburg-Wilmersdorf,04501152,Prager Platz, 4 266 , 99.2 , -   , 884 , 20.6 , -   , 4 266 , 99.2 , -   , 1 162 , 27.0 , 6.4 
04,Charlottenburg-Wilmersdorf,04501153,Babelsberger Straße, 4 534 , 99.9 , -   , 2 861 , 63.0 , -   , 4 534 , 99.9 , -   , 3 098 , 68.3 , 5.3 
05,Spandau,05100101,Hakenfelde Nord, 2 177 , 95.2 , -   , 704 , 30.8 , -   , 2 177 , 95.2 , -   , 704 , 30.8 , -   
05,Spandau,05100102,Am Forstacker, 2 383 , 96.2 , -   , -   , -   , -   , 2 383 , 96.2 , -   , -   , -   , -   
05,Spandau,05100103,Mertensstraße, 2 944 , 96.5 , -   , 1 396 , 45.8 , -   , 2 944 , 96.5 , -   , 1 396 , 45.8 , -   
05,Spandau,05100104,Maselake, 2 314 , 98.4 , -   , 2 304 , 98.0 , -   , 2 314 , 98.4 , -   , 2 304 , 98.0 , -   
05,Spandau,05100105,Amorbacher Weg, 4 285 , 98.4 , -   , -   , -   , -   , 4 285 , 98.4 , -   , -   , -   , -   
05,Spandau,05100206,Griesingerstraße, 1 493 , 96.8 , -   , 17 , 1.1 , -   , 1 493 , 96.8 , -   , 17 , 1.1 , -   
05,Spandau,05100207,An der Tränke, 1 023 , 92.2 , -   , 340 , 30.7 , -   , 1 023 , 92.2 , -   , 340 , 30.7 , -   
05,Spandau,05100208,Im Spektefeld, 5 055 , 98.6 , -   , 127 , 2.5 , -   , 5 055 , 98.6 , -   , 127 , 2.5 , -   
05,Spandau,05100209,Westerwaldstraße, 5 528 , 99.4 , -   , 226 , 4.1 , -   , 5 528 , 99.4 , -   , 226 , 4.1 , -   
05,Spandau,05100210,Germersheimer Platz, 4 481 , 99.9 , -   , -   , -   , -   , 4 481 , 99.9 , -   , -   , -   , -   
05,Spandau,05100211,An der Kappe, 2 964 , 97.8 , -   , 12 , 0.4 , -   , 2 964 , 97.8 , -   , 12 , 0.4 , -   
05,Spandau,05100312,Eckschanze, 2 252 , 99.6 , -   , 2 252 , 99.6 , -   , 2 252 , 99.6 , -   , 2 252 , 99.6 , -   
05,Spandau,05100313,Eiswerder, 2 858 , 96.9 , -   , 1 483 , 50.3 , -   , 2 868 , 97.3 , 0.4 , 1 527 , 51.8 , 1.5 
05,Spandau,05100314,Kurstraße, 3 690 , 100.0 , -   , 3 618 , 98.0 , -   , 3 690 , 100.0 , -   , 3 618 , 98.0 , -   
05,Spandau,05100315,Ackerstraße, 3 697 , 100.0 , -   , 3 697 , 100.0 , -   , 3 697 , 100.0 , -   , 3 697 , 100.0 , -   
05,Spandau,05100316,Carl-Schurz-Straße, 6 337 , 98.9 , -   , 124 , 1.9 , -   , 6 337 , 98.9 , -   , 124 , 1.9 , -   
05,Spandau,05100317,Freiheit, 2 015 , 97.2 , -   , 378 , 18.2 , -   , 2 015 , 97.2 , -   , 378 , 18.2 , -   
05,Spandau,05200418,Isenburger Weg, 1 306 , 79.4 , -   , -   , -   , -   , 1 306 , 79.4 , -   , -   , -   , -   
05,Spandau,05200419,Am Heideberg, 1 025 , 99.7 , -   , -   , -   , -   , 1 025 , 99.7 , -   , -   , -   , -   
05,Spandau,05200420,Staakener Straße, 2 708 , 92.8 , -   , 25 , 0.9 , -   , 2 728 , 93.5 , 0.7 , 1 222 , 41.9 , 41.0 
05,Spandau,05200421,Spandauer Straße, 2 012 , 95.7 , -   , 44 , 2.1 , -   , 2 012 , 95.7 , -   , 44 , 2.1 , -   
05,Spandau,05200422,Werkstraße, 274 , 63.0 , -   , 38 , 8.7 , -   , 274 , 63.0 , -   , 38 , 8.7 , -   
05,Spandau,05200423,Magistratsweg, 3 183 , 94.2 , -   , 118 , 3.5 , -   , 3 183 , 94.2 , -   , 118 , 3.5 , -   
05,Spandau,05200524,Döberitzer Weg, 1 102 , 71.1 , -   , -   , -   , -   , 1 102 , 71.1 , -   , -   , -   , -   
05,Spandau,05200525,Pillnitzer Weg, 1 134 , 91.4 , -   , -   , -   , -   , 1 134 , 91.4 , -   , -   , -   , -   
05,Spandau,05200526,Rudolf-Wissell-Großsiedlung, 2 479 , 99.2 , -   , 106 , 4.2 , -   , 2 479 , 99.2 , -   , 106 , 4.2 , -   
05,Spandau,05200527,Maulbeerallee, 4 946 , 99.0 , -   , 210 , 4.2 , -   , 4 955 , 99.1 , 0.1 , 450 , 9.0 , 4.8 
05,Spandau,05200528,Weinmeisterhornweg, 3 581 , 95.8 , -   , 26 , 0.7 , -   , 3 581 , 95.8 , -   , 26 , 0.7 , -   
05,Spandau,05200629,Borkumer Straße, 4 522 , 95.9 , -   , 465 , 9.9 , -   , 4 570 , 96.9 , 1.0 , 1 580 , 33.5 , 23.6 
05,Spandau,05200630,Wilhelmstadt West, 5 719 , 98.0 , -   , 344 , 5.9 , -   , 5 807 , 99.5 , 1.5 , 3 639 , 62.4 , 56.5 
05,Spandau,05200631,Wilhelmstadt Ost, 4 829 , 96.7 , -   , 122 , 2.4 , -   , 4 987 , 99.9 , 3.2 , 3 058 , 61.2 , 58.8 
05,Spandau,05200632,Tiefwerder, 1 797 , 97.9 , -   , 78 , 4.2 , -   , 1 797 , 97.9 , -   , 78 , 4.2 , -   
05,Spandau,05200633,Graetschelsteig, 1 069 , 99.3 , -   , 117 , 10.9 , -   , 1 069 , 99.3 , -   , 117 , 10.9 , -   
05,Spandau,05200634,Börnicker Straße, 2 108 , 75.5 , -   , -   , -   , -   , 2 108 , 75.5 , -   , -   , -   , -   
05,Spandau,05300735,Haveleck, 1 167 , 79.8 , -   , 673 , 46.0 , -   , 1 174 , 80.3 , 0.5 , 747 , 51.1 , 5.1 
05,Spandau,05300736,Zitadellenweg, 1 561 , 96.1 , -   , 118 , 7.3 , -   , 1 573 , 96.9 , 0.8 , 142 , 8.7 , 1.4 
05,Spandau,05300737,Gartenfelder Straße, 6 503 , 99.6 , -   , 902 , 13.8 , -   , 6 503 , 99.6 , -   , 902 , 13.8 , -   
05,Spandau,05300838,Gartenfeld, 153 , 98.7 , -   , 30 , 19.4 , -   , 153 , 98.7 , -   , 30 , 19.4 , -   
05,Spandau,05300839,Rohrdamm, 3 566 , 99.9 , -   , 3 563 , 99.9 , -   , 3 566 , 99.9 , -   , 3 563 , 99.9 , -   
05,Spandau,05300840,Nonnendammallee, 350 , 50.5 , -   , 337 , 48.6 , -   , 350 , 50.5 , -   , 337 , 48.6 , -   
05,Spandau,05300841,Siemensdamm, 2 559 , 100.0 , -   , 2 559 , 100.0 , -   , 2 559 , 100.0 , -   , 2 559 , 100.0 , -   
05,Spandau,05400942,Alt-Gatow, 1 716 , 86.0 , -   , 47 , 2.4 , -   , 1 716 , 86.0 , -   , 47 , 2.4 , -   
05,Spandau,05400943,Jägerallee, 4 524 , 92.3 , -   , 368 , 7.5 , -   , 4 524 , 92.3 , -   , 368 , 7.5 , -   
05,Spandau,05400944,Kladower Damm, 1 085 , 90.9 , -   , -   , -   , -   , 1 085 , 90.9 , -   , -   , -   , -   
05,Spandau,05400945,Kafkastraße, 1 795 , 96.9 , -   , 73 , 3.9 , -   , 1 795 , 96.9 , -   , 73 , 3.9 , -   
06,Steglitz-Zehlendorf,06100101,Fichtenberg, 4 233 , 99.1 , -   , 146 , 3.4 , -   , 4 233 , 99.1 , -   , 146 , 3.4 , -   
06,Steglitz-Zehlendorf,06100102,Schloßstraße, 5 494 , 97.9 , -   , 740 , 13.2 , -   , 5 494 , 97.9 , -   , 740 , 13.2 , -   
06,Steglitz-Zehlendorf,06100103,Markelstraße, 3 923 , 99.4 , -   , 1 054 , 26.7 , -   , 3 947 , 100.0 , 0.6 , 3 813 , 96.6 , 69.9 
06,Steglitz-Zehlendorf,06100204,Munsterdamm, 3 890 , 97.6 , -   , 134 , 3.4 , -   , 3 890 , 97.6 , -   , 134 , 3.4 , -   
06,Steglitz-Zehlendorf,06100205,Südende, 5 373 , 97.7 , -   , 168 , 3.1 , -   , 5 373 , 97.7 , -   , 168 , 3.1 , -   
06,Steglitz-Zehlendorf,06100206,Stadtpark, 4 516 , 99.1 , -   , 127 , 2.8 , -   , 4 516 , 99.1 , -   , 127 , 2.8 , -   
06,Steglitz-Zehlendorf,06100207,Mittelstraße, 4 775 , 99.2 , -   , 325 , 6.7 , -   , 4 775 , 99.2 , -   , 325 , 6.7 , -   
06,Steglitz-Zehlendorf,06100208,Bergstraße, 4 023 , 98.3 , -   , 294 , 7.2 , -   , 4 023 , 98.3 , -   , 294 , 7.2 , -   
06,Steglitz-Zehlendorf,06100209,Feuerbachstraße, 5 368 , 99.1 , -   , 632 , 11.7 , -   , 5 374 , 99.2 , 0.1 , 1 862 , 34.4 , 22.7 
06,Steglitz-Zehlendorf,06100210,Bismarckstraße, 2 807 , 100.0 , -   , 181 , 6.4 , -   , 2 807 , 100.0 , -   , 181 , 6.4 , -   
06,Steglitz-Zehlendorf,06200311,Alt-Lankwitz, 2 756 , 98.1 , -   , 224 , 8.0 , -   , 2 756 , 98.1 , -   , 224 , 8.0 , -   
06,Steglitz-Zehlendorf,06200312,Komponistenviertel Lankwitz, 3 255 , 96.0 , -   , 317 , 9.3 , -   , 3 255 , 96.0 , -   , 317 , 9.3 , -   
06,Steglitz-Zehlendorf,06200313,Lankwitz Kirche, 4 287 , 95.9 , -   , 563 , 12.6 , -   , 4 287 , 95.9 , -   , 563 , 12.6 , -   
06,Steglitz-Zehlendorf,06200314,Kaiser-Wilhelm-Straße, 4 340 , 99.2 , -   , 100 , 2.3 , -   , 4 340 , 99.2 , -   , 100 , 2.3 , -   
06,Steglitz-Zehlendorf,06200315,Gallwitzallee, 3 486 , 94.4 , -   , 444 , 12.0 , -   , 3 486 , 94.4 , -   , 444 , 12.0 , -   
06,Steglitz-Zehlendorf,06200316,Belßstraße, 3 035 , 98.7 , -   , 743 , 24.2 , -   , 3 035 , 98.7 , -   , 743 , 24.2 , -   
06,Steglitz-Zehlendorf,06200317,Lankwitz Süd, 3 345 , 98.3 , -   , 41 , 1.2 , -   , 3 345 , 98.3 , -   , 41 , 1.2 , -   
06,Steglitz-Zehlendorf,06200418,Landweg, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
06,Steglitz-Zehlendorf,06200419,Thermometersiedlung, 2 298 , 96.6 , -   , 136 , 5.7 , -   , 2 298 , 96.6 , -   , 136 , 5.7 , -   
06,Steglitz-Zehlendorf,06200420,Lichterfelde Süd, 3 605 , 96.1 , -   , 1 647 , 43.9 , -   , 3 605 , 96.1 , -   , 1 647 , 43.9 , -   
06,Steglitz-Zehlendorf,06200421,Königsberger Straße, 4 879 , 96.6 , -   , 3 239 , 64.2 , -   , 4 879 , 96.6 , -   , 3 239 , 64.2 , -   
06,Steglitz-Zehlendorf,06200422,Oberhofer Platz, 3 959 , 98.4 , -   , 91 , 2.3 , -   , 3 959 , 98.4 , -   , 91 , 2.3 , -   
06,Steglitz-Zehlendorf,06200423,Schütte-Lanz-Straße, 4 032 , 94.2 , -   , 226 , 5.3 , -   , 4 032 , 94.2 , -   , 226 , 5.3 , -   
06,Steglitz-Zehlendorf,06300524,Berlepschstraße, 2 905 , 96.9 , -   , 428 , 14.3 , -   , 2 905 , 96.9 , -   , 428 , 14.3 , -   
06,Steglitz-Zehlendorf,06300525,Zehlendorf Süd, 3 254 , 97.9 , -   , 818 , 24.6 , -   , 3 254 , 97.9 , -   , 818 , 24.6 , -   
06,Steglitz-Zehlendorf,06300526,Zehlendorf Mitte, 2 783 , 99.0 , -   , 43 , 1.5 , -   , 2 783 , 99.0 , -   , 43 , 1.5 , -   
06,Steglitz-Zehlendorf,06300527,Sundgauer Straße, 4 521 , 97.4 , -   , 62 , 1.3 , -   , 4 521 , 97.4 , -   , 62 , 1.3 , -   
06,Steglitz-Zehlendorf,06300528,Teltower Damm, 5 548 , 87.6 , -   , 281 , 4.4 , -   , 5 548 , 87.6 , -   , 281 , 4.4 , -   
06,Steglitz-Zehlendorf,06300629,Botanischer Garten, 4 103 , 96.6 , -   , 336 , 7.9 , -   , 4 103 , 96.6 , -   , 336 , 7.9 , -   
06,Steglitz-Zehlendorf,06300630,Hindenburgdamm, 2 879 , 98.2 , -   , 194 , 6.6 , -   , 2 879 , 98.2 , -   , 194 , 6.6 , -   
06,Steglitz-Zehlendorf,06300631,Goerzwerke, 1 974 , 97.4 , -   , 1 216 , 60.0 , -   , 1 974 , 97.4 , -   , 1 216 , 60.0 , -   
06,Steglitz-Zehlendorf,06300632,Schweizer Viertel, 6 385 , 96.0 , -   , 1 333 , 20.0 , -   , 6 385 , 96.0 , -   , 1 333 , 20.0 , -   
06,Steglitz-Zehlendorf,06300633,Augustaplatz, 7 016 , 98.1 , -   , 422 , 5.9 , -   , 7 016 , 98.1 , -   , 422 , 5.9 , -   
06,Steglitz-Zehlendorf,06300634,Lichterfelde West, 4 726 , 100.0 , -   , 4 726 , 100.0 , -   , 4 726 , 100.0 , -   , 4 726 , 100.0 , -   
06,Steglitz-Zehlendorf,06400735,Wannsee, 5 475 , 94.8 , -   , 30 , 0.5 , -   , 5 475 , 94.8 , -   , 30 , 0.5 , -   
06,Steglitz-Zehlendorf,06400736,Düppel, 2 369 , 96.3 , -   , 28 , 1.1 , -   , 2 369 , 96.3 , -   , 28 , 1.1 , -   
06,Steglitz-Zehlendorf,06400737,Nikolassee, 6 493 , 97.9 , -   , 262 , 4.0 , -   , 6 493 , 97.9 , -   , 262 , 4.0 , -   
06,Steglitz-Zehlendorf,06400838,Krumme Lanke, 4 436 , 98.2 , -   , 12 , 0.3 , -   , 4 471 , 99.0 , 0.8 , 2 231 , 49.4 , 49.1 
06,Steglitz-Zehlendorf,06400839,Fischerhüttenstraße, 3 092 , 97.2 , -   , 18 , 0.6 , -   , 3 159 , 99.3 , 2.1 , 2 629 , 82.7 , 82.1 
06,Steglitz-Zehlendorf,06400840,Fischtal, 4 099 , 99.7 , -   , 24 , 0.6 , -   , 4 110 , 100.0 , 0.3 , 4 109 , 100.0 , 99.4 
06,Steglitz-Zehlendorf,06400841,Zehlendorf Eiche, 3 710 , 97.8 , -   , 106 , 2.8 , -   , 3 713 , 97.8 , -   , 1 588 , 41.8 , 39.0 
06,Steglitz-Zehlendorf,06400842,Hüttenweg, 2 162 , 98.0 , -   , 79 , 3.6 , -   , 2 199 , 99.6 , 1.6 , 2 198 , 99.6 , 96.0 
06,Steglitz-Zehlendorf,06400843,Thielallee, 2 565 , 95.2 , -   , 63 , 2.3 , -   , 2 565 , 95.2 , -   , 63 , 2.3 , -   
06,Steglitz-Zehlendorf,06400844,Dahlem, 3 883 , 97.1 , -   , 2 487 , 62.2 , -   , 3 883 , 97.1 , -   , 2 487 , 62.2 , -   
07,Tempelhof-Schöneberg,07100101,Wittenbergplatz, 7 197 , 99.6 , -   , 2 215 , 30.6 , -   , 7 197 , 99.6 , -   , 2 215 , 30.6 , -   
07,Tempelhof-Schöneberg,07100102,Kalckreuthstraße, 5 648 , 99.4 , -   , 1 885 , 33.2 , -   , 5 648 , 99.4 , -   , 1 885 , 33.2 , -   
07,Tempelhof-Schöneberg,07100103,Frobenstraße, 4 107 , 99.4 , -   , 1 400 , 33.9 , -   , 4 107 , 99.4 , -   , 1 400 , 33.9 , -   
07,Tempelhof-Schöneberg,07100204,Barbarossaplatz, 6 258 , 98.2 , -   , 1 436 , 22.5 , -   , 6 258 , 98.2 , -   , 1 436 , 22.5 , -   
07,Tempelhof-Schöneberg,07100205,Alvenslebenstraße, 2 962 , 99.8 , -   , 725 , 24.4 , -   , 2 962 , 99.8 , -   , 725 , 24.4 , -   
07,Tempelhof-Schöneberg,07100206,Großgörschenstraße, 4 936 , 98.6 , -   , 394 , 7.9 , -   , 4 936 , 98.6 , -   , 394 , 7.9 , -   
07,Tempelhof-Schöneberg,07200307,Bayerischer Platz, 6 761 , 98.9 , -   , 3 532 , 51.6 , -   , 6 761 , 98.9 , -   , 3 532 , 51.6 , -   
07,Tempelhof-Schöneberg,07200308,Volkspark (Rudolph-Wilde-Park), 6 121 , 100.0 , -   , 6 121 , 100.0 , -   , 6 121 , 100.0 , -   , 6 121 , 100.0 , -   
07,Tempelhof-Schöneberg,07200409,Belziger Straße, 6 609 , 100.0 , -   , 6 609 , 100.0 , -   , 6 609 , 100.0 , -   , 6 609 , 100.0 , -   
07,Tempelhof-Schöneberg,07200410,Feurigstraße, 3 447 , 100.0 , -   , 3 446 , 100.0 , -   , 3 447 , 100.0 , -   , 3 446 , 100.0 , -   
07,Tempelhof-Schöneberg,07200411,Julius-Leber-Brücke, 1 644 , 99.5 , -   , 215 , 13.0 , -   , 1 644 , 99.5 , -   , 215 , 13.0 , -   
07,Tempelhof-Schöneberg,07200412,Schöneberger Linse, 338 , 28.7 , -   , 136 , 11.6 , -   , 338 , 28.7 , -   , 136 , 11.6 , -   
