PLR_ID,PLR_NAME,wohmi_fl,nat_pers,genossen,jur_pers,sozvermiet,stwbg,jp_ohn_swg
06100101,Fichtenberg,561699.0,72.0,10.0,25.0,12.25,1.25,13.75
06100102,Schloßstraße,280776.0,79.0,2.66,19.0,4.04,0.38,15.96
06100103,Markelstraße,186303.0,77.0,5.98,23.0,6.21,0.23,16.79
06100204,Munsterdamm,395594.0,57.0,7.8,39.0,12.58,0.78,30.42
06100205,Südende,550102.0,69.0,0.0,24.0,5.24,0.24,23.76
06100206,Stadtpark,330054.0,53.0,8.41,29.0,16.41,0.0,20.59
06100207,Mittelstraße,339196.0,65.0,5.61,33.0,9.26,1.65,25.74
06100208,Bergstraße,288661.0,68.0,9.28,29.0,11.86,0.58,19.14
06100209,Feuerbachstraße,313512.0,67.0,10.53,27.0,15.39,4.86,11.61
06100210,Bismarckstraße,156451.0,47.0,24.44,52.0,26.0,1.56,26.0
06200311,Alt-Lankwitz,494503.0,72.0,7.36,23.0,11.36,0.0,15.64
06200312,Komponistenviertel Lankwitz,658885.0,85.0,2.28,12.0,3.88,0.6,9.12
06200313,Lankwitz Kirche,370315.0,49.0,16.32,51.0,28.05,11.73,22.95
06200314,Kaiser-Wilhelm-Straße,448418.0,70.0,6.09,29.0,20.88,14.79,8.12
06200315,Gallwitzallee,430719.0,59.0,0.0,39.0,11.31,11.31,27.69
06200316,Belßstraße,267387.0,16.0,5.74,82.0,12.84,4.1,72.16
06200317,Lankwitz Süd,984222.0,83.0,0.64,16.0,3.68,3.04,12.32
06200418,Landweg,964585.0,0.0,0.0,100.0,0.0,0.0,100.0
06200419,Thermometersiedlung,218715.0,36.0,0.0,61.0,47.53,44.53,16.47
06200420,Lichterfelde Süd,618492.0,65.0,14.28,34.0,21.06,5.78,13.94
06200421,Königsberger Straße,914362.0,75.0,4.56,19.0,10.13,0.57,13.87
06200422,Oberhofer Platz,848522.0,92.0,1.14,6.0,1.5,0.36,4.5
06200423,Schütte-Lanz-Straße,1101218.0,85.0,0.15,15.0,10.8,10.65,4.2
06300524,Berlepschstraße,871554.0,74.0,9.87,21.0,14.87,0.0,11.13
06300525,Zehlendorf Süd,504064.0,41.0,0.0,38.0,22.9,1.9,36.1
06300526,Zehlendorf Mitte,352039.0,86.0,0.0,13.0,4.34,2.34,10.66
06300527,Sundgauer Straße,565291.0,67.0,4.41,21.0,16.41,0.0,16.59
06300528,Teltower Damm,1753393.0,91.0,0.18,6.0,2.3,0.12,5.7
06300629,Botanischer Garten,517306.0,74.0,7.92,18.0,13.92,0.0,10.08
06300630,Hindenburgdamm,310827.0,79.0,2.4,20.0,5.6,3.2,14.4
06300631,Goerzwerke,267399.0,59.0,0.0,33.0,8.0,0.0,33.0
06300632,Schweizer Viertel,1663427.0,87.0,1.92,8.0,8.0,2.08,4.0
06300633,Augustaplatz,1065357.0,89.0,0.48,8.0,4.32,1.84,5.68
06300634,Lichterfelde West,1081456.0,92.0,2.94,6.0,5.0,0.06,3.0
06400735,Wannsee,2245556.0,87.0,0.4,10.0,2.8,0.4,9.2
06400736,Düppel,539864.0,61.0,0.0,10.0,33.7,3.7,6.3
06400737,Nikolassee,2063109.0,79.0,0.0,14.0,5.84,0.84,13.16
06400838,Krumme Lanke,1581257.0,84.0,3.3,15.0,3.3,0.0,11.7
06400839,Fischerhüttenstraße,947549.0,83.0,0.0,14.0,3.12,1.12,12.88
06400840,Fischtal,813866.0,76.0,1.44,24.0,1.44,0.0,22.56
06400841,Zehlendorf Eiche,804831.0,79.0,1.26,18.0,2.26,0.0,16.74
06400842,Hüttenweg,518693.0,42.0,0.0,55.0,1.0,0.0,55.0
06400843,Thielallee,879636.0,82.0,3.6,9.0,12.6,0.0,5.4
06400844,Dahlem,1638110.0,83.0,0.0,9.0,5.26,1.26,7.74
07100101,Wittenbergplatz,279608.0,60.0,0.37,37.0,12.25,8.88,27.75
07100102,Kalckreuthstraße,226352.0,68.0,0.0,31.0,9.75,7.75,23.25
07100103,Frobenstraße,180836.0,29.0,0.0,68.0,39.04,36.04,31.96
07100204,Barbarossaplatz,253190.0,81.0,0.85,17.0,1.36,0.51,15.64
07100205,Alvenslebenstraße,152197.0,28.0,0.0,72.0,56.88,56.88,15.12
07100206,Großgörschenstraße,182437.0,51.0,0.94,47.0,26.91,23.97,22.09
07200307,Bayerischer Platz,273153.0,77.0,3.22,23.0,11.96,8.74,11.04
07200308,Volkspark (Rudolph-Wilde-Park),223379.0,63.0,0.0,36.0,14.76,14.76,21.24
07200409,Belziger Straße,238733.0,68.0,0.0,29.0,6.8,5.8,23.2
07200410,Feurigstraße,124438.0,45.0,1.5,50.0,39.5,34.0,14.5
07200411,Julius-Leber-Brücke,60252.0,43.0,0.0,57.0,42.18,42.18,14.82
07200412,Schöneberger Linse,58883.0,36.0,1.8,60.0,22.0,16.2,42.0
07200413,Cheruskerstraße,144287.0,82.0,0.0,17.0,2.53,1.53,15.47
07200414,Hohenfriedbergstraße,79412.0,84.0,0.0,11.0,1.77,0.77,10.23
07300515,Taunusstraße,211918.0,86.0,0.0,14.0,0.0,0.0,14.0
07300516,Odenwaldstraße,265794.0,88.0,0.36,12.0,0.36,0.0,11.64
07300517,Perelsplatz,317281.0,73.0,0.0,26.0,3.12,3.12,22.88
07300618,Ceciliengärten,324591.0,84.0,0.0,15.0,4.05,4.05,10.95
07300619,Grazer Platz,409126.0,51.0,0.0,49.0,0.0,0.0,49.0
07400720,Gontermannstraße,419374.0,61.0,0.0,36.0,24.4,23.4,12.6
07400721,Paradestraße,419544.0,87.0,0.0,12.0,1.6,0.6,11.4
07400822,Lindenhofsiedlung,143985.0,9.0,69.3,90.0,70.3,0.0,20.7
07400823,Wittekindstraße,410409.0,17.0,27.39,83.0,41.5,14.11,41.5
07400824,Bosepark,255274.0,75.0,7.44,24.0,7.92,0.48,16.08
07400825,Friedrich-Karl-Straße,207002.0,62.0,1.44,36.0,3.96,2.52,32.04
07400826,Marienhöhe,374586.0,62.0,31.16,38.0,31.16,0.0,6.84
07400927,Rathaus Tempelhof,430738.0,41.0,10.08,48.0,22.96,2.88,35.04
07400928,Germaniagarten,222731.0,59.0,0.0,39.0,2.0,0.0,39.0
07501029,Ringstraße,456694.0,32.0,11.39,67.0,25.79,13.4,42.21
07501030,Machonstraße,350575.0,55.0,26.46,42.0,27.3,0.84,14.7
07501031,Eisenacher Straße,511496.0,45.0,24.44,47.0,35.73,3.29,19.27
07501032,Imbrosweg,594329.0,59.0,2.46,41.0,2.46,0.0,38.54
07501133,Fritz-Werner-Straße,465549.0,52.0,12.42,46.0,27.68,14.26,19.32
07501134,Hundsteinweg,1197577.0,82.0,8.16,17.0,10.88,2.72,6.12
07501135,Birnhornweg,415717.0,99.0,0.0,1.0,0.0,0.0,1.0
07601236,Marienfelder Allee Nordwest,662406.0,56.0,8.0,40.0,24.2,13.2,18.8
07601237,Kirchstraße,649452.0,93.0,0.36,6.0,3.16,1.8,3.84
07601238,Marienfelde Nordost,304710.0,62.0,0.0,2.0,36.0,0.0,2.0
07601339,Tirschenreuther Ring West,273875.0,23.0,6.84,76.0,76.0,69.16,0.0
07601340,Tirschenreuther Ring Ost,245032.0,15.0,33.15,85.0,66.3,33.15,18.7
