PLR_ID,PLR_NAME,school_count,school_names,privat,öffentlich,Typ: Andere Schule,Typ: Berufsschule,Typ: Grundschule,Typ: Gymnasium,Typ: Integrierte Sekundarschule,Typ: Privatschule,Typ: Schule mit sonderpädagogischem Förderschwerpunkt,Art: Berufsfachschule,Art: Berufsschule,Art: Berufsschule mit sonderpäd. Aufgaben,Art: Fachschule,Art: Freie Waldorfschule,"Art: Förderschwerp. ""Geistige Entwicklung""","Art: Förderschwerp. ""Lernen""","Art: Förderschwerp. ""Lernen""u.""Geistige Entwickl.""",Art: Förderschwerp. einschl. beruflichem Teil,Art: Gemeinschaftsschule,Art: Grundschule,Art: Gymnasium,Art: Integrierte Sekundarschule,Art: Kombinierte allg./berufl. Schule,Art: Kombinierte allgemein bildende Schule,Art: Kombinierte berufliche Schule,Art: Oberstufenzentrum,Art: Übrige Förderschwerpunkte
01200517,Huttenkiez,2.0,"['Heinrich-von-Stephan-Gemeinschaftsschule', 'Schulen der ASIG Stiftung e.V.']",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
01200518,Beusselkiez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01200519,Emdener Straße,3.0,"['Carl-Bolle-Grundschule', 'Katholische Schule Sankt Paulus (Grundschule)', 'CeFi - Fachschule für Sozialpädagogik']",2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01200520,Bremer Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01200521,Zwinglistraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01200522,Elberfelder Straße,2.0,"['Staatliche Technikerschule Berlin', 'Miriam-Makeba-Grundschule']",0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01200623,Stephankiez,3.0,"['Kurt-Tucholsky-Grundschule', 'Hedwig-Dohm-Schule (Integrierte Sekundarschule)', 'Theodor-Heuss-Gemeinschaftsschule']",0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
01200624,Heidestraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01200625,Lübecker Straße,1.0,['Berufsfachschule  Paulo Freire im Zentrum ÜBERLEBEN'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01200626,Thomasiusstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01200627,Zillesiedlung,1.0,"['OSZ Banken, Immobilien und Versicherungen']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
01200628,Lüneburger Straße,2.0,"['Anne-Frank-Grundschule', 'Moabiter Grundschule']",0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01200629,Hansaviertel,2.0,"['Hansa-Grundschule', 'Gymnasium Tiergarten']",0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01300730,Drontheimer Straße,2.0,"['OSZ Kommunikations-, Informations- und Medientechnik', 'Wilhelm-Hauff-Grundschule']",0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
01300731,Koloniestraße,3.0,"['Carl-Kraemer-Grundschule', 'Andersen-Grundschule', 'Quinoa-Schule Freie Sekundarschule Berlin Wedding']",1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
01300732,Soldiner Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01300733,Gesundbrunnen,3.0,"['Rudolf-Wissell-Grundschule', 'Gesundbrunnen-Grundschule', 'Willy-Brandt-Schule']",0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
01300834,Brunnenstraße,3.0,"['Heinrich-Seidel-Grundschule', 'Vineta-Grundschule', 'Freie Schule am Mauerpark (Grundschule)']",1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01300835,Humboldthain Süd,6.0,"['Humboldthain-Grundschule', 'Gustav-Falke-Grundschule', 'Ernst-Reuter-Schule', 'Lazarus Schulen der Hoffnungstaler Stiftung Lobetal', 'Bilinguale Schule Phorms Berlin Mitte', 'DDA Destiny Diversity Academy GmbH']",3.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
