Planungsraum-ID,Planungsraumname,Anzahl der Mehrfachbelastungen,Einwohnerdichte-Kategorie,Luftbelastungs-Kategorie,Lärmbelastungs-Kategorie,Thermische Belastungs-Kategorie,Grünflächenversorgungs-Kategorie,Soziale Benachteiligungs-Kategorie,Bezirksname,S-Bahn-Ring
07400824,Bosepark,1,2,3,2,2,2,2,07 - Tempelhof-Schöneberg,1
07400825,Friedrich-Karl-Straße,1,2,3,2,2,2,2,07 - Tempelhof-Schöneberg,1
07400826,Marienhöhe,1,1,2,3,2,1,2,07 - Tempelhof-Schöneberg,1
07400927,Rathaus Tempelhof,1,1,2,3,2,2,2,07 - Tempelhof-Schöneberg,1
07400928,Germaniagarten,2,1,2,3,2,1,3,07 - Tempelhof-Schöneberg,1
07501029,Ringstraße,1,1,2,2,3,2,2,07 - Tempelhof-Schöneberg,1
07501030,Machonstraße,0,2,2,2,2,2,2,07 - Tempelhof-Schöneberg,1
07501031,Eisenacher Straße,0,1,2,2,2,1,2,07 - Tempelhof-Schöneberg,1
07501032,Imbrosweg,0,1,1,1,2,1,2,07 - Tempelhof-Schöneberg,1
07501133,Fritz-Werner-Straße,1,1,2,2,3,2,2,07 - Tempelhof-Schöneberg,1
07501134,Hundsteinweg,0,1,2,2,2,1,2,07 - Tempelhof-Schöneberg,1
07501135,Birnhornweg,1,1,2,3,2,1,2,07 - Tempelhof-Schöneberg,1
07601236,Marienfelder Allee Nordwest,1,1,2,2,2,1,3,07 - Tempelhof-Schöneberg,1
07601237,Kirchstraße,0,1,2,2,2,1,2,07 - Tempelhof-Schöneberg,1
07601238,Marienfelde Nordost,1,1,2,2,3,2,2,07 - Tempelhof-Schöneberg,1
07601339,Tirschenreuther Ring West,1,2,2,1,2,1,3,07 - Tempelhof-Schöneberg,1
07601340,Tirschenreuther Ring Ost,0,2,2,1,2,2,2,07 - Tempelhof-Schöneberg,1
07601341,Diedersdorfer Weg,0,1,1,2,2,1,2,07 - Tempelhof-Schöneberg,1
07601442,Kettinger Straße,0,1,2,2,1,1,2,07 - Tempelhof-Schöneberg,1
07601443,Töpchiner Weg,0,1,2,2,2,1,2,07 - Tempelhof-Schöneberg,1
07601544,John-Locke-Straße,0,1,2,2,2,2,2,07 - Tempelhof-Schöneberg,1
07601545,Nahariyastraße,1,1,2,1,2,1,3,07 - Tempelhof-Schöneberg,1
07601546,Franziusweg,0,1,1,2,1,1,2,07 - Tempelhof-Schöneberg,1
07601547,Horstwalder Straße,0,1,1,2,1,1,2,07 - Tempelhof-Schöneberg,1
07601548,Wittelsbacherstraße,0,1,1,1,1,1,2,07 - Tempelhof-Schöneberg,1
08100101,Hasenheide,1,1,1,1,2,1,3,08 - Neukölln,1
08100102,Schillerpromenade Nord,0,2,2,1,2,1,2,08 - Neukölln,1
08100103,Schillerpromenade Süd,1,2,2,1,2,1,3,08 - Neukölln,1
08100104,Wartheplatz,2,2,2,1,2,3,3,08 - Neukölln,1
08100105,Silbersteinstraße,3,2,2,3,2,3,3,08 - Neukölln,1
08100206,Flughafenstraße,4,3,3,1,3,3,3,08 - Neukölln,1
08100207,Rollberg,2,3,3,1,2,2,3,08 - Neukölln,1
08100208,Körnerpark,1,3,2,1,2,2,3,08 - Neukölln,1
08100209,Glasower Straße,5,2,3,3,3,3,3,08 - Neukölln,1
08100310,Maybachufer,2,3,3,1,2,3,2,08 - Neukölln,1
08100311,Reuterplatz,2,3,3,1,2,3,2,08 - Neukölln,1
08100312,Weichselplatz,2,3,3,1,2,3,2,08 - Neukölln,1
08100313,Bouchéstraße,0,3,2,1,2,2,2,08 - Neukölln,1
08100314,Donaustraße,4,3,3,2,3,3,3,08 - Neukölln,1
08100415,Ganghoferstraße,3,3,3,1,3,3,2,08 - Neukölln,1
08100416,Alt-Rixdorf,2,2,3,1,2,3,2,08 - Neukölln,1
08100417,Braunschweiger Straße,3,3,3,2,2,3,3,08 - Neukölln,1
08100418,Hertzbergplatz,1,2,2,1,2,3,2,08 - Neukölln,1
08100419,Treptower Straße Nord,2,2,2,2,2,3,3,08 - Neukölln,1
08100520,Weiße Siedlung,1,1,2,2,2,1,3,08 - Neukölln,1
08100521,Schulenburgpark,3,1,2,3,3,1,3,08 - Neukölln,1
08200622,Jahnstraße,4,1,3,3,3,2,3,08 - Neukölln,1
08200623,Park am Buschkrug,0,1,2,2,2,1,2,08 - Neukölln,1
08200624,Tempelhofer Weg,2,1,2,2,3,1,3,08 - Neukölln,1
08200725,Mohriner Allee Nord,0,1,1,2,2,1,2,08 - Neukölln,1
08200726,Hufeisensiedlung,1,1,2,3,2,1,2,08 - Neukölln,1
08200727,Parchimer Allee Süd,0,1,2,2,2,1,2,08 - Neukölln,1
08200728,Ortolanweg,1,1,1,3,2,2,2,08 - Neukölln,1
08200729,Britzer Garten,0,1,1,2,1,1,2,08 - Neukölln,1
08200730,Handwerker-Siedlung,1,1,1,3,1,1,2,08 - Neukölln,1
08200831,Buckow West,0,1,2,2,2,1,2,08 - Neukölln,1
08200832,Buckow 01 - Mitte,0,1,2,2,2,1,2,08 - Neukölln,1
08200833,Buckow Ost,1,1,2,1,2,2,3,08 - Neukölln,1
08300934,Gropiusstadt Nord-West,1,2,2,2,2,2,3,08 - Neukölln,1
08300935,Gropiusstadt Süd-West,0,2,2,1,2,1,2,08 - Neukölln,1
08301036,Gropiusstadt 01 - Mitte,1,2,2,1,2,1,3,08 - Neukölln,1
08301037,Gropiusstadt Süd-Ost,2,3,2,1,2,3,3,08 - Neukölln,1
08401138,Goldhähnchenweg,2,3,2,1,2,3,3,08 - Neukölln,1
08401139,Vogelviertel Süd,0,1,2,2,2,1,2,08 - Neukölln,1
08401140,Vogelviertel Nord,1,1,2,3,2,1,2,08 - Neukölln,1
08401241,Blumenviertel,1,1,2,3,2,1,2,08 - Neukölln,1
08401242,Zittauer Straße,0,1,1,1,2,1,2,08 - Neukölln,1
08401243,Alt-Rudow,0,1,2,2,2,1,2,08 - Neukölln,1
08401244,Waßmannsdorfer Chaussee,0,1,1,1,2,1,2,08 - Neukölln,1
08401245,Frauenviertel,1,1,2,1,3,1,2,08 - Neukölln,1
08401246,Waltersdorfer Chaussee Ost,0,1,1,2,1,1,2,08 - Neukölln,1
09100101,Alt-Treptow,0,1,2,1,2,1,2,09 - Treptow-Köpenick,1
09100202,Plänterwald West,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09100203,Plänterwald Ost,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09100304,Baumschulenweg West,1,1,2,3,2,2,2,09 - Treptow-Köpenick,1
09100305,Baumschulenweg Ost,1,1,2,3,2,1,2,09 - Treptow-Köpenick,1
09100306,Späthsfelde,1,1,1,3,1,1,2,09 - Treptow-Köpenick,1
09100407,Johannisthal West,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09100408,Johannisthal Ost,1,2,2,3,2,1,2,09 - Treptow-Köpenick,1
09100409,Landschaftspark Adlershof,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09200510,Helmholtz-Kiez,2,1,1,2,3,3,2,09 - Treptow-Köpenick,1
09200511,Griechischer Park,1,1,2,2,3,2,2,09 - Treptow-Köpenick,1
09200512,Wuhlheide,0,1,1,2,2,1,2,09 - Treptow-Köpenick,1
09200613,Bahnhof Schöneweide,2,1,2,3,3,2,2,09 - Treptow-Köpenick,1
09200614,Oberspree,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09200715,Wista,2,1,2,3,3,1,2,09 - Treptow-Köpenick,1
09200716,Dörpfeldstraße West,1,1,2,3,2,2,2,09 - Treptow-Köpenick,1
09200717,Dörpfeldstraße Ost,1,1,1,3,2,2,2,09 - Treptow-Köpenick,1
09200818,Spindlersfeld,1,1,2,3,2,1,2,09 - Treptow-Köpenick,1
09200819,Köllnische Vorstadt,2,1,2,3,3,2,2,09 - Treptow-Köpenick,1
09300920,Dorf Altglienicke,1,1,1,3,1,1,2,09 - Treptow-Köpenick,1
09300921,Preußen Siedlung,1,1,1,3,1,1,1,09 - Treptow-Köpenick,1
09300922,Kosmos Viertel,2,2,2,2,3,1,3,09 - Treptow-Köpenick,1
09300923,Kölner Viertel,0,1,1,2,2,1,2,09 - Treptow-Köpenick,1
09301024,Falkenberg,1,1,1,3,2,1,1,09 - Treptow-Köpenick,1
09301025,Alt-Bohnsdorf,1,1,1,3,1,1,2,09 - Treptow-Köpenick,1
09301126,Grünau,1,1,1,3,1,1,2,09 - Treptow-Köpenick,1
09301227,Karolinenhof,1,1,1,3,1,1,1,09 - Treptow-Köpenick,1
09301228,Schmöckwitz/Rauchfangswerder,0,1,1,2,1,1,1,09 - Treptow-Köpenick,1
09401329,Kietzer Feld/Nachtheide,0,1,1,1,2,1,2,09 - Treptow-Köpenick,1
09401330,Wendenschloß,0,1,1,1,1,1,1,09 - Treptow-Köpenick,1
09401431,Allende I,1,2,2,2,3,1,2,09 - Treptow-Köpenick,1
09401432,Siedlung Kämmereiheide,0,1,1,2,1,1,2,09 - Treptow-Köpenick,1
09401433,Allende II,0,1,1,1,2,1,2,09 - Treptow-Köpenick,1
09401534,Altstadt Köpenick,1,1,2,2,3,2,2,09 - Treptow-Köpenick,1
09401635,Müggelheim,0,1,1,1,1,1,1,09 - Treptow-Köpenick,1
09501736,Hirschgarten,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09501737,Alt-Friedrichshagen,0,1,1,2,2,2,1,09 - Treptow-Köpenick,1
09501838,Rahnsdorf,0,1,1,1,1,1,1,09 - Treptow-Köpenick,1
09501939,Bahnhofstraße,1,1,2,3,2,1,2,09 - Treptow-Köpenick,1
09501940,Güterbahnhof Köpenick,2,1,2,3,3,1,2,09 - Treptow-Köpenick,1
09501941,Friedrichshagener Straße,0,1,2,2,2,1,2,09 - Treptow-Köpenick,1
09502042,01 - Mittelheide,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
09502043,Dammheide,1,1,1,3,2,1,2,09 - Treptow-Köpenick,1
10100101,Marzahn West,1,1,2,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100102,Rosenbecker Straße,2,2,2,2,3,2,3,10 - Marzahn-Hohenschönhausen,1
10100103,Wittenberger Straße,1,2,2,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100104,Golliner Straße,1,1,1,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100205,Gewerbegebiet Bitterfelder Straße,2,1,1,3,3,1,0,10 - Marzahn-Hohenschönhausen,1
10100206,Wuhletalstraße,1,2,2,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100207,Ahrensfelder Berge,1,1,1,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100208,Bürgerpark,1,2,2,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100209,Lea-Grundig-Straße,0,2,2,2,2,2,2,10 - Marzahn-Hohenschönhausen,1
10100210,Marzahner Promenade,2,2,2,2,3,3,2,10 - Marzahn-Hohenschönhausen,1
10100311,Marzahner Chaussee,2,1,2,3,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100312,Springpfuhl,1,2,2,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100313,Alt-Marzahn,1,1,2,3,2,1,2,10 - Marzahn-Hohenschönhausen,1
10100314,Auersbergstraße,1,2,2,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100315,Bärenstein,1,2,2,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10100316,Landsberger Tor,1,1,1,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10200417,Zossener Straße,2,2,2,2,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200418,Kyritzer Straße,1,1,2,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10200419,Havelländer Ring,1,2,2,1,3,2,2,10 - Marzahn-Hohenschönhausen,1
10200420,Gut Hellersdorf,2,1,2,2,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200421,Helle 01 - Mitte,2,2,3,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10200422,Hellersdorfer Promenade,2,2,2,1,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200423,Böhlener Straße,2,1,1,1,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200524,Adele-Sandrock-Straße,1,1,2,2,3,1,2,10 - Marzahn-Hohenschönhausen,1
10200525,Schleipfuhl,2,2,2,1,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200526,Boulevard Kastanienallee,2,2,2,1,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200627,Am Kienberg,1,1,1,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10200628,Neue Grottkauer Straße,2,2,2,1,3,1,3,10 - Marzahn-Hohenschönhausen,1
10200629,Teterower Ring,1,1,2,1,3,1,2,10 - Marzahn-Hohenschönhausen,1
10200630,Cecilienplatz,1,2,2,1,3,2,2,10 - Marzahn-Hohenschönhausen,1
10300731,Oberfeldstraße,0,1,1,2,1,1,1,10 - Marzahn-Hohenschönhausen,1
10300732,Buckower Ring,0,1,1,2,2,1,2,10 - Marzahn-Hohenschönhausen,1
10300733,Alt-Biesdorf,1,1,1,3,2,1,1,10 - Marzahn-Hohenschönhausen,1
10300734,Biesdorf Süd,1,1,1,3,1,1,1,10 - Marzahn-Hohenschönhausen,1
10400835,Kaulsdorf Nord,0,1,1,1,1,1,1,10 - Marzahn-Hohenschönhausen,1
10400836,Alt-Kaulsdorf,1,1,2,3,2,1,1,10 - Marzahn-Hohenschönhausen,1
10400837,Kaulsdorf Süd,0,1,1,2,1,1,1,10 - Marzahn-Hohenschönhausen,1
10400938,Mahlsdorf Nord,0,1,1,2,1,1,1,10 - Marzahn-Hohenschönhausen,1
10400939,Alt-Mahlsdorf,1,1,2,3,2,1,1,10 - Marzahn-Hohenschönhausen,1
10400940,Elsensee,0,1,1,1,1,1,1,10 - Marzahn-Hohenschönhausen,1
10400941,Pilgramer Straße,0,1,1,1,1,1,1,10 - Marzahn-Hohenschönhausen,1
11100101,Dörfer Malchow-Wartenberg,0,1,1,1,2,1,1,11 - Lichtenberg,1
11100102,Dorf Falkenberg,0,1,1,2,2,1,2,11 - Lichtenberg,1
11100203,Falkenberg Ost,1,1,1,1,2,1,3,11 - Lichtenberg,1
11100204,Falkenberg West,1,1,2,2,3,1,2,11 - Lichtenberg,1
11100205,Wartenberg Süd,1,2,2,2,3,1,2,11 - Lichtenberg,1
11100206,Wartenberg Nord,2,2,2,2,3,1,3,11 - Lichtenberg,1
11100307,Zingster Straße Ost,1,2,2,1,3,1,2,11 - Lichtenberg,1
11100308,Zingster Straße West,2,2,2,2,3,1,3,11 - Lichtenberg,1
11100309,Mühlengrund,0,1,1,2,2,1,2,11 - Lichtenberg,1
11200410,Malchower Weg,0,1,2,2,2,1,2,11 - Lichtenberg,1
11200411,Hauptstraße,2,1,2,3,3,2,2,11 - Lichtenberg,1
11200512,Orankesee,0,1,1,1,2,1,2,11 - Lichtenberg,1
11200513,Große-Leege-Straße,1,2,2,1,2,3,2,11 - Lichtenberg,1
11200514,Landsberger Allee,1,2,2,2,3,1,2,11 - Lichtenberg,1
11200515,Weiße Taube,1,1,2,2,3,1,1,11 - Lichtenberg,1
11300616,Hohenschönhausener Straße,2,2,2,3,2,1,3,11 - Lichtenberg,1
11300617,Fennpfuhlpark,1,1,2,3,2,2,2,11 - Lichtenberg,1
11300618,Storkower Bogen,0,2,2,2,2,2,2,11 - Lichtenberg,1
11300619,Rudolf-Seiffert-Park,0,3,2,2,2,1,2,11 - Lichtenberg,1
11300620,Fennpfuhl Ost,1,3,2,2,2,3,2,11 - Lichtenberg,1
11300721,Herzbergstraße,2,1,2,3,3,1,2,11 - Lichtenberg,1
11300722,Rathaus 11 - Lichtenberg,1,2,2,3,2,1,2,11 - Lichtenberg,1
11300723,Bornitzstraße,1,1,2,2,3,2,2,11 - Lichtenberg,1
11300724,Roedeliusplatz,2,1,3,2,3,2,2,11 - Lichtenberg,1
11300725,Nibelungenviertel,2,2,2,3,2,3,2,11 - Lichtenberg,1
11300826,Frankfurter Allee Süd,2,1,2,3,3,2,2,11 - Lichtenberg,1
11400927,Victoriastadt,3,2,2,3,3,3,2,11 - Lichtenberg,1
11400928,Nöldnerplatz,2,1,1,3,3,2,2,11 - Lichtenberg,1
11400929,Weitlingkiez,0,2,2,2,2,2,2,11 - Lichtenberg,1
11400930,Zachertstraße,0,2,2,1,2,2,2,11 - Lichtenberg,1
11400931,Massower Straße,2,2,3,2,3,2,2,11 - Lichtenberg,1
11401032,Rosenfelder Ring,1,2,2,3,2,2,2,11 - Lichtenberg,1
11401033,Gensinger Straße,1,2,2,3,2,1,2,11 - Lichtenberg,1
11401034,Tierpark,1,1,1,3,2,2,2,11 - Lichtenberg,1
11401135,Dolgenseestraße,0,2,2,1,2,1,2,11 - Lichtenberg,1
11401136,Volkradstraße,0,2,2,2,2,1,2,11 - Lichtenberg,1
11401137,Erieseering,0,2,2,2,2,1,2,11 - Lichtenberg,1
11501238,Rummelsburg,2,1,1,3,3,1,2,11 - Lichtenberg,1
11501339,Karlshorst West,1,2,2,2,2,3,2,11 - Lichtenberg,1
11501340,Karlshorst Nord,0,1,1,2,2,1,1,11 - Lichtenberg,1
11501341,Karlshorst Süd,0,1,1,2,2,1,1,11 - Lichtenberg,1
12100101,Letteplatz,3,2,3,2,2,3,3,12 - Reinickendorf,1
12100102,Hausotterplatz,2,2,2,2,2,3,3,12 - Reinickendorf,1
12100103,Breitkopfbecken,1,2,2,2,2,1,3,12 - Reinickendorf,1
12100204,Schäfersee,0,1,2,2,2,1,2,12 - Reinickendorf,1
12100205,Teichstraße,1,1,2,2,3,2,2,12 - Reinickendorf,1
12100206,Humboldtstraße,0,1,2,2,2,1,2,12 - Reinickendorf,1
12200307,Reinickes Hof,2,1,2,3,3,1,2,12 - Reinickendorf,1
12200308,Mellerbogen,0,2,2,1,2,2,2,12 - Reinickendorf,1
12200309,Scharnweberstraße,3,2,3,2,2,3,3,12 - Reinickendorf,1
12200310,Klixstraße,3,2,2,3,2,3,3,12 - Reinickendorf,1
12200411,Schumacher-Quartier,1,1,1,3,2,2,2,12 - Reinickendorf,1
12200412,Waldidyll/Flughafensee,0,1,1,2,2,1,2,12 - Reinickendorf,1
12200413,Tegel Süd,1,2,2,2,2,2,3,12 - Reinickendorf,1
12200414,TXL,0,1,1,2,1,1,2,12 - Reinickendorf,1
12200515,Alt-Tegel,1,1,2,1,3,1,2,12 - Reinickendorf,1
12400616,Konradshöhe/Tegelort,0,1,1,1,1,1,1,12 - Reinickendorf,1
12400617,Alt-Heiligensee,0,1,1,1,1,1,1,12 - Reinickendorf,1
12400618,Heiligensee Nord,1,1,1,3,1,1,1,12 - Reinickendorf,1
12400619,Heiligensee,0,1,1,2,1,1,1,12 - Reinickendorf,1
12400720,Frohnau West,0,1,1,1,1,1,1,12 - Reinickendorf,1
12400721,Frohnau Ost,0,1,1,1,1,1,1,12 - Reinickendorf,1
12400722,Hermsdorf West,0,1,1,2,1,1,1,12 - Reinickendorf,1
12400723,Hermsdorf Ost/Waldsee,0,1,1,2,1,1,1,12 - Reinickendorf,1
12500824,Ziekowstraße/Freie Scholle,0,1,2,2,2,1,2,12 - Reinickendorf,1
12500825,Borsigwalde,1,1,2,2,3,2,2,12 - Reinickendorf,1
12500926,Wittenau Süd,1,1,2,3,2,1,2,12 - Reinickendorf,1
12500927,Wittenau Nord,0,1,1,2,2,1,2,12 - Reinickendorf,1
12500928,Waidmannslust,0,1,1,2,1,1,2,12 - Reinickendorf,1
12500929,Lübars,0,1,1,1,1,1,1,12 - Reinickendorf,1
12500930,Wittenau 01 - Mitte,0,1,2,2,2,2,2,12 - Reinickendorf,1
12601031,Lübarser Straße,1,1,2,2,3,1,2,12 - Reinickendorf,1
12601032,Rollbergesiedlung,1,2,2,1,2,1,3,12 - Reinickendorf,1
12601133,Treuenbrietzener Straße,1,2,2,2,2,2,3,12 - Reinickendorf,1
12601134,Märkisches Zentrum,1,2,2,1,2,2,3,12 - Reinickendorf,1
12601235,Dannenwalder Weg,2,3,2,2,2,3,3,12 - Reinickendorf,1
12601236,Schorfheidestraße,1,1,2,3,2,1,2,12 - Reinickendorf,1
