Planungsraum-ID,Planungsraumname,Anzahl der Mehrfachbelastungen,Einwohnerdichte-Kategorie,Luftbelastungs-Kategorie,Lärmbelastungs-Kategorie,Thermische Belastungs-Kategorie,Grünflächenversorgungs-Kategorie,Soziale Benachteiligungs-Kategorie,Bezirksname,S-Bahn-Ring
02500726,Hausburgviertel,3,3,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500727,Forckenbeckplatz,3,2,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500728,Samariterviertel,3,3,3,1,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500729,Pettenkofer Straße,2,2,2,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500830,Niederbarnimstraße,2,3,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02500831,Wismarplatz,2,3,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02500832,Traveplatz,3,3,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500833,Boxhagener Platz,2,3,3,2,2,3,2,02 - Friedrichshain-Kreuzberg,1
02500834,Revaler Straße,3,3,3,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500835,Stralauer Kiez,2,1,2,2,3,3,2,02 - Friedrichshain-Kreuzberg,1
02500836,Stralauer Halbinsel,0,1,1,2,2,1,1,02 - Friedrichshain-Kreuzberg,1
03100101,Bucher Forst,1,1,1,3,2,1,2,03 -Pankow,1
03100102,Klinikum Buch,1,1,1,3,2,1,2,03 -Pankow,1
03100103,Karower Chaussee,2,1,1,3,3,1,2,03 -Pankow,1
03200204,Blankenfelde,0,1,1,1,2,1,1,03 -Pankow,1
03200205,Uhlandstraße,0,1,1,2,1,2,1,03 -Pankow,1
03200206,Pastor-Niemöller-Platz,1,1,2,3,2,2,2,03 -Pankow,1
03200207,Herthaplatz,0,1,2,2,2,2,2,03 -Pankow,1
03200308,Nisbléstraße,0,1,2,2,2,1,1,03 -Pankow,1
03200309,Eddastraße,1,1,1,3,2,1,2,03 -Pankow,1
03200310,Krugpfuhl,0,1,1,2,2,1,2,03 -Pankow,1
03300411,Karow Nord,2,1,2,3,3,1,2,03 -Pankow,1
03300412,Karow Bahnhof,1,1,1,3,1,1,1,03 -Pankow,1
03300413,Karow Ost,1,1,1,3,1,1,1,03 -Pankow,1
03300514,Blankenburg,1,1,1,3,1,1,1,03 -Pankow,1
03300515,Blankenburger Süden,1,1,1,3,2,1,0,03 -Pankow,1
03300516,Heinersdorf,1,1,1,3,2,1,2,03 -Pankow,1
03300517,Märchenland,0,1,1,2,2,1,1,03 -Pankow,1
03400618,Rosenthal,0,1,1,2,2,1,1,03 -Pankow,1
03400619,Wilhelmsruh,0,1,2,2,2,1,2,03 -Pankow,1
03400620,Schönholz,1,1,1,3,1,1,1,03 -Pankow,1
03400721,Florakiez,2,2,2,3,2,3,2,03 -Pankow,1
03400722,Parkstraße,0,1,2,2,2,1,1,03 -Pankow,1
03400723,Garbátyplatz,3,2,2,3,3,3,2,03 -Pankow,1
03400724,Wolfshagener Straße,0,1,2,2,2,1,2,03 -Pankow,1
03400725,Schlosspark,1,1,2,3,2,1,2,03 -Pankow,1
03400826,Tiroler Viertel,2,2,2,3,2,3,2,03 -Pankow,1
03400827,Trelleborger Viertel,2,3,3,2,2,3,2,03 -Pankow,1
03400828,Spiekermann Straße,1,2,2,2,2,3,2,03 -Pankow,1
03400829,Arnold-Zweig-Straße,2,2,2,2,3,3,2,03 -Pankow,1
03400830,Kissingenviertel,2,2,2,3,2,3,2,03 -Pankow,1
03400831,03 -Pankower Tor,2,1,2,3,3,0,0,03 -Pankow,1
03500932,Bühringstraße,0,1,2,2,2,2,2,03 -Pankow,1
03500933,Weißer See,0,1,2,2,2,1,2,03 -Pankow,1
03500934,Weißenseer Spitze,3,2,3,2,3,3,2,03 -Pankow,1
03500935,Behaimstraße,2,2,3,2,2,3,2,03 -Pankow,1
03500936,Komponistenviertel Weißensee,0,1,2,1,2,2,2,03 -Pankow,1
03501037,Rathaus Weißensee,1,1,2,2,3,1,2,03 -Pankow,1
03501038,Hansastraße,0,1,1,2,2,1,2,03 -Pankow,1
03601139,Norweger Viertel,1,1,2,2,2,3,2,03 -Pankow,1
03601140,Malmöer Straße,3,3,3,2,3,3,2,03 -Pankow,1
03601141,Arnimplatz,2,3,3,2,2,3,2,03 -Pankow,1
03601142,Falkplatz,1,2,2,2,3,2,2,03 -Pankow,1
03601243,Rodenbergstraße,2,3,3,2,2,3,2,03 -Pankow,1
03601244,Humannplatz,3,3,3,2,3,3,2,03 -Pankow,1
03601245,Ostseestraße,3,2,3,2,3,3,2,03 -Pankow,1
03601346,Gethsemanekirche,2,3,3,2,2,3,2,03 -Pankow,1
03601347,Helmholtzplatz,3,3,3,1,3,3,2,03 -Pankow,1
03601348,Senefelderstraße,2,3,3,1,3,2,2,03 -Pankow,1
03601449,Michelangelostraße,1,2,2,3,2,1,2,03 -Pankow,1
03601450,Volkspark Prenzlauer Berg,2,1,2,3,2,2,3,03 -Pankow,1
03601451,Anton-Saefkow-Park,1,2,2,2,3,2,2,03 -Pankow,1
03601452,Velodrom,0,1,2,2,2,1,2,03 -Pankow,1
03601453,Alter Schlachthof,1,1,2,2,3,1,1,03 -Pankow,1
03701554,Teutoburger Platz,3,3,3,1,3,3,2,03 -Pankow,1
03701555,Sredzkistraße,3,3,3,1,3,3,2,03 -Pankow,1
03701556,Kollwitzplatz,3,2,3,1,3,3,1,03 -Pankow,1
03701657,Thälmannpark,1,1,2,3,2,1,2,03 -Pankow,1
03701658,Christburger Straße,3,3,3,1,3,3,2,03 -Pankow,1
03701659,Immanuelkirchstraße,2,3,3,2,3,2,2,03 -Pankow,1
03701660,Bötzowstraße,2,3,3,1,3,2,2,03 -Pankow,1
04100101,Jungfernheide/Plötzensee,1,1,2,3,2,1,2,04 - Charlottenburg-Wilmersdorf,1
04100102,Paul-Hertz-Siedlung,2,2,2,3,2,2,3,04 - Charlottenburg-Wilmersdorf,1
04200203,Olympiagelände,1,1,1,3,2,1,1,04 - Charlottenburg-Wilmersdorf,1
04200204,Angerburger Allee,0,1,2,2,1,1,2,04 - Charlottenburg-Wilmersdorf,1
