gisid,kategorie,bez_name,bez_id,pgr_name,pgr_id,bzr_name,bzr_id,plr_name,plr_id
"02100103",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Nord,"0210",Südliche Friedrichstadt,"021001",Am Berlin Museum,"02100103"
"02100104",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Nord,"0210",Südliche Friedrichstadt,"021001",Moritzplatz,"02100104"
"02100105",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Nord,"0210",Südliche Friedrichstadt,"021001",Prinzenstraße,"02100105"
"02100106",3 - Erhöht,Friedrichshain/Kreuzberg,"02",Kreuzberg Nord,"0210",Südliche Friedrichstadt,"021001",Wassertorplatz,"02100106"
"02200207",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Gleisdreieck,"02200207"
"02200208",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Rathaus Yorckstraße,"02200208"
"02200209",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Viktoriapark,"02200209"
"02200210",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Urbanstraße,"02200210"
"02200211",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Chamissokiez,"02200211"
"02200212",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Graefekiez Süd,"02200212"
"02200213",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Süd,"0220",Tempelhofer Vorstadt,"022002",Graefekiez Nord,"02200213"
"02300314",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Ost,"0230",Nördliche Luisenstadt,"023003",Oranienplatz,"02300314"
"02300315",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Ost,"0230",Nördliche Luisenstadt,"023003",Lausitzer Platz,"02300315"
"02300316",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Ost,"0230",Nördliche Luisenstadt,"023003",Köpenicker Straße,"02300316"
"02300417",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Kreuzberg Ost,"0230",Südl. Luisenstadt,"023004",Reichenberger Straße West,"02300417"
"02300418",2 - Mittel,Friedrichshain/Kreuzberg,"02",Kreuzberg Ost,"0230",Südl. Luisenstadt,"023004",Reichenberger Straße Ost,"02300418"
"02300419",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Kreuzberg Ost,"0230",Südl. Luisenstadt,"023004",Wrangelkiez,"02300419"
"02400520",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain West,"0240",Karl-Marx-Allee Nord,"024005",Barnimkiez,"02400520"
"02400521",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain West,"0240",Karl-Marx-Allee Nord,"024005",Friedenstraße,"02400521"
"02400522",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain West,"0240",Karl-Marx-Allee Nord,"024005",Richard-Sorge-Viertel,"02400522"
"02400623",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain West,"0240",Karl-Marx-Allee Süd,"024006",Andreasviertel,"02400623"
"02400624",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain West,"0240",Karl-Marx-Allee Süd,"024006",Weberwiese,"02400624"
"02400625",4 - Stark erhöht,Friedrichshain/Kreuzberg,"02",Friedrichshain West,"0240",Karl-Marx-Allee Süd,"024006",Wriezener Bahnhof,"02400625"
"02500726",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. A. Nord,"025007",Hausburgviertel,"02500726"
"02500727",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. A. Nord,"025007",Forckenbeckplatz,"02500727"
"02500728",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. A. Nord,"025007",Samariterviertel,"02500728"
"02500729",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. A. Nord,"025007",Pettenkofer Straße,"02500729"
"02500830",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Niederbarnimstraße,"02500830"
"02500831",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Wismarplatz,"02500831"
"02500832",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Traveplatz,"02500832"
"02500833",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Boxhagener Platz,"02500833"
"02500834",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Revaler Straße,"02500834"
